hhid,round,comment,intakeevent,s6q27a,s6q27b,s6q28,s6q29,s6q29a,s6q29a1,s6q29b,s6q30,s6q31,s6q32,s6q32b,s6q33,s6q33_r6,s6q34,s6q34b,s6q34c,s6q34d
5047,3,0,1,2010,Oct-14,Shoat,Loaned in/Borrowed,,,,3,3,Expand herd,,Within sub-location,,,7650,Yes,
5047,3,0,2,2011,Apr-15,Shoat,Purchased,,,,2,1,Expand herd,,Within sub-location,,,3200,Yes,
5047,3,0,4,2011,Aug-15,Camel,Received as gifts,,,,2,2,Milking purposes,,Within sub-location,,,5000,Yes,
5047,4,0,1,2012,Jun-15,Shoat,Received as gifts,,,,4,2,Expand herd,,Within sub-location,,,12000,Yes,
5047,5,0,1,2013,Mar-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within sub-location,,,3500,Yes,
5049,1,,1,2008,Nov-14,Shoat,Received as gifts,,,,1,1,Expand herd,,Within sub-location,,1000,,,
5049,1,,3,2009,Sep-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within the location,,700,,,
5049,1,,2,2009,May-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within the location,,900,,,
5049,2,,5,2010,Aug-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,2500,,,
5049,2,,4,2010,Jun-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within the location,,2000,,,
5049,2,,3,2010,May-15,Shoat,Received as gifts,,,,2,0,Consumption,,Within the location,,2400,,,
5049,2,,1,2010,Mar-15,Camel,Obtained as dowry,,,,1,0,Cultural and traditional rites,,Within sub-location,,20000,,,
5049,2,,2,2010,Apr-15,Shoat,Received as gifts,,,,2,0,Consumption,,Within sub-location,,2500,,,
5049,3,0,2,2011,Jul-15,Shoat,Received as gifts,,,,3,0,Cultural and traditional rites,,Within sub-location,,,6000,Yes,
5049,3,0,1,2011,Jun-15,Camel,Obtained as dowry,,,,1,0,Cultural and traditional rites,,Within sub-location,,,30000,Yes,
5049,4,0,1,2012,Mar-15,Shoat,Received as gifts,,,,3,0,Expand herd,,Within sub-location,,,6000,Yes,
5049,5,0,1,2013,Jun-15,Camel,Obtained as dowry,,,,1,1,Expand herd,,Within sub-location,,,50000,Yes,
5049,7,,1,2020,May-15,Sheep,Received as gifts,,,,3,,Milking purposes,,,,,,,1
5049,7,,1,2019,Feb-15,Goat,Received as gifts,,,,3,,Expand herd,,,,,,,1
5050,1,,2,2009,May-15,Shoat,Received as gifts,,,,1,1,Consumption,,Within the location,,900,,,
5050,1,,3,2009,Aug-15,Shoat,Purchased,,,,1,0,Consumption,,Within sub-location,,1000,,,
5050,1,,1,2008,Dec-14,Shoat,Purchased,,,,1,0,Consumption,,Within sub-location,,700,,,
5050,2,,2,2010,Jul-15,Shoat,Received as gifts,,,,2,1,Consumption,,Within the location,,1800,,,
5050,2,,3,2010,Aug-15,Shoat,Received as gifts,,,,3,0,Consumption,,Within the district,,2000,,,
5050,2,,1,2010,May-15,Cattle,Received as gifts,,,,3,3,Milking purposes,,Within the district,,15000,,,
5050,3,0,1,2011,Feb-15,Shoat,Received as gifts,,,,1,1,Milking purposes,,Within the location,,,2000,Yes,
5050,4,0,1,2011,Nov-14,Shoat,Received as gifts,,,,9,6,Expand herd,,Within sub-location,,,25000,Yes,
5050,4,0,2,2012,Mar-15,Shoat,Received as a part of a restocking program,,,,5,3,Expand herd,,Within sub-location,,,15500,Yes,
5050,5,0,1,2013,Mar-15,Shoat,Received as gifts,,,,2,0,Consumption,,Within the location,,,7000,Yes,
5050,5,0,2,2013,Jul-15,Shoat,Received as gifts,,,,2,2,Consumption,,Within the location,,,4000,Yes,
5050,6,0,2,2015,Jul-15,Shoat,Received as gifts,,,,1,1,Restocking from loss,,,.b,,2300,Yes,
5050,6,0,1,2015,Apr-15,Shoat,Received as gifts,,,,4,2,Expand herd,,,.b,,8000,Yes,
5051,1,,2,2009,Jul-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,700,,,
5051,1,,1,2009,Jan-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,800,,,
5051,1,,3,2009,Sep-15,Shoat,Received as gifts,,,,1,1,Consumption,,Within sub-location,,1000,,,
5051,3,0,1,2011,Apr-15,Shoat,Received as gifts,,,,3,0,Start herd,,Within sub-location,,,7800,Yes,
5051,7,,1,2020,Dec-14,Camel,Obtained as dowry,,,,2,,Cultural and traditional rites,,,,,,,1
5051,7,,3,2020,Dec-14,Goat,Received as gifts,,,,4,,Expand herd,,,,,,,3
5051,7,,2,2020,Jul-15,Goat,Purchased,,,,4,,Milking purposes,,,,1700,6800,,3
5051,7,,1,2020,Apr-15,Sheep,Received as gifts,,,,3,,Expand herd,,,,,,,2
5051,7,,1,2020,May-15,Goat,Received as gifts,,,,4,,Expand herd,,,,,,,3
5051,7,,2,2020,Nov-14,Sheep,Purchased,,,,3,,Expand herd,,,,1800,5400,,2
5052,1,,3,2009,May-15,Shoat,Received as gifts,,,,1,1,Cultural and traditional rites,,Within the location,,1000,,,
5052,1,,2,2009,Feb-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within the location,,900,,,
5052,1,,1,2008,Dec-14,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,800,,,
5052,2,,4,2010,Jul-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within the district,,800,,,
5052,2,,3,2010,Jun-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the district,,800,,,
5052,2,,1,2010,Jun-15,Camel,Received as gifts,,,,1,1,Expand herd,,Within the district,,20000,,,
5052,2,,2,2010,Apr-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the district,,1000,,,
5052,3,0,1,2011,Apr-15,Camel,Received as gifts,,,,1,1,Restocking from loss,,Within the location,,,0,No,
5052,3,0,2,2011,Jan-15,Shoat,Received as gifts,,,,4,4,Restocking from loss,,Within the location,,,0,No,
5052,4,0,3,2012,Aug-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within sub-location,,,5000,Yes,
5052,4,0,2,2012,Jul-15,Shoat,Received as gifts,,,,5,2,Expand herd,,Within the location,,,15000,Yes,
5052,4,0,1,2011,Dec-14,Camel,Received as gifts,,,,3,2,Consumption,,Within the location,,,120000,Yes,
5052,5,0,1,2013,May-15,Shoat,Received as gifts,,,,3,3,Expand herd,,Within sub-location,,,6000,Yes,
5052,5,0,2,2013,Aug-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within sub-location,,,2500,Yes,
5052,7,,1,2020,Dec-14,Sheep,Received as gifts,,,,1,,Expand herd,,,,,,,1
5053,2,,1,2010,May-15,Shoat,Received as gifts,,,,2,0,Consumption,,Within sub-location,,2800,,,
5053,2,,2,2010,Jul-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,1700,,,
5053,2,,3,2010,Sep-15,Shoat,Received as gifts,,,,3,0,Consumption,,Within the location,,2500,,,
5053,3,0,2,2010,Dec-14,Camel,Received as gifts,,,,17,6,Consumption,,Within the district,,,20000,Yes,
5053,3,0,1,2011,Jan-15,Shoat,Exchange,,,,17,12,Consumption,,Outside the district,,,30000,Yes,
5053,4,0,1,2012,Mar-15,Shoat,Received as gifts,,,,1,1,Consumption,,Within the location,,,3000,Yes,
5053,5,0,3,2013,Feb-15,Shoat,Received as gifts,,,,3,0,Expand herd,,Within the location,,,9500,Yes,
5053,5,0,2,2013,Jun-15,Camel,Received as gifts,,,,1,1,Expand herd,,Within the location,,,30000,Yes,
5053,5,0,1,2013,Jun-15,Camel,Purchased,,,,3,0,Expand herd,,Within the location,,,90000,Yes,
5053,6,0,2,2015,Jun-15,Camel,Received as gifts,,,,2,1,Expand herd,,,.b,,23000,Yes,
5053,6,0,1,2015,Jun-15,Shoat,Received as a part of a restocking program,,,,12,5,Restocking from loss,,,.b,,21000,Yes,
5053,7,,1,2020,Jul-15,Sheep,Received as gifts,,,,2,,Cultural and traditional rites,,,,,,,1
5053,7,,1,2020,Jul-15,Goat,Received as gifts,,,,5,,Cultural and traditional rites,,,,,,,1
5054,1,,3,2009,Aug-15,Shoat,Received as gifts,,,,1,0,Cultural and traditional rites,,Within sub-location,,500,,,
5054,1,,2,2009,May-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,700,,,
5054,1,,1,2009,Mar-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,800,,,
5054,4,0,1,2012,Apr-15,Camel,Received as gifts,,,,1,1,Milking purposes,,Within the district,,,30000,Yes,
5054,6,0,1,2015,May-15,Shoat,Received as gifts,,,,1,1,Expand herd,,,.b,,1000,Yes,
5055,2,,4,2010,May-15,Shoat,Received as gifts,,,,2,1,Expand herd,,Within the location,,1100,,,
5055,2,,3,2010,Apr-15,Shoat,Received as gifts,,,,3,1,Expand herd,,Within sub-location,,1500,,,
5055,2,,1,2010,Apr-15,Camel,Purchased,,,,1,0,Expand herd,,Within the location,,20000,,,
5055,2,,7,2010,Aug-15,Shoat,Received as gifts,,,,2,1,Cultural and traditional rites,,Within the location,,1000,,,
5055,2,,5,2010,Jun-15,Shoat,Loaned in/Borrowed,,,,1,1,Expand herd,,Within sub-location,,800,,,
5055,2,,8,2010,Sep-15,Shoat,Received as gifts,,,,3,1,Consumption,,Within the location,,800,,,
5055,2,,6,2010,Jul-15,Shoat,Received as gifts,,,,3,2,Expand herd,,Within sub-location,,900,,,
5055,2,,2,2010,Apr-15,Cattle,Purchased,,,,1,1,Expand herd,,Within the district,,10000,,,
5055,4,0,1,2011,Nov-14,Shoat,Purchased,,,,2,0,Expand herd,,Within sub-location,,,5000,Yes,
5055,5,0,1,2012,Dec-14,Camel,Received as gifts,,,,2,2,Expand herd,,Within sub-location,,,80000,Yes,
5056,3,0,1,2011,Jan-15,Camel,Obtained as dowry,,,,1,0,Cultural and traditional rites,,Within the district,,,40000,Yes,
5057,1,,1,2009,Feb-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,900,,,
5057,1,,2,2009,Apr-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,700,,,
5057,2,,1,2010,May-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the district,,1200,,,
5057,2,,3,2010,Aug-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,800,,,
5057,2,,2,2010,Jul-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,1100,,,
5057,3,0,1,2011,Mar-15,Shoat,Received as gifts,,,,42,24,Restocking from loss,,Within the location,,,84000,Yes,
5057,5,0,2,2013,May-15,Shoat,Purchased,,,,1,0,Expand herd,,Within sub-location,,,4000,Yes,
5057,5,0,1,2012,Dec-14,Cattle,Received as gifts,,,,1,1,Expand herd,,Within the location,,,15000,Yes,
5061,2,,2,2010,Apr-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within the district,,1500,,,
5061,2,,3,2010,Jun-15,Shoat,Received as gifts,,,,3,0,Consumption,,Within the district,,1650,,,
5061,2,,1,2009,Dec-14,Shoat,Received as gifts,,,,4,2,Expand herd,,Within the location,,1750,,,
5061,3,0,3,2011,Jul-15,Shoat,Loaned in/Borrowed,,,,4,2,Consumption,,Within the district,,,12000,Yes,
5061,3,0,1,2011,Jan-15,Camel,Received as gifts,,,,1,0,Cultural and traditional rites,,Within the district,,,22000,Yes,
5061,3,0,2,2011,Jun-15,Shoat,Obtained as dowry,,,,7,7,Cultural and traditional rites,,Within the district,,,21000,Yes,
5061,4,0,1,2012,Jul-15,Shoat,Received as gifts,,,,4,4,Expand herd,,Within sub-location,,,12000,Yes,
5061,4,0,2,2012,Sep-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within sub-location,,,6000,Yes,
5066,3,0,1,2011,Jan-15,Camel,Loaned in/Borrowed,,,,1,0,Restocking from loss,,Within the district,,,25000,No,
5066,3,0,2,2011,Jul-15,Shoat,Received as gifts,,,,5,3,Restocking from loss,,Within the location,,,10000,Yes,
5066,4,0,1,2012,Jan-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within sub-location,,,4000,Yes,
5066,5,0,1,2012,Oct-14,Shoat,Received as gifts,,,,1,0,Expand herd,,Within the location,,,3500,Yes,
5067,2,,2,2010,May-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within the location,,1500,,,
5067,2,,1,2010,Mar-15,Shoat,Received as gifts,,,,3,1,Consumption,,Within the district,,1650,,,
5068,1,,1,2008,Jul-15,Camel,Loaned in/Borrowed,,,,1,1,Restocking from loss,,Within the location,,18000,,,
5068,2,,1,2010,Jul-15,Camel,Purchased,,,,1,0,Expand herd,,Within the location,,12200,,,
5068,3,0,1,2011,Jul-15,Shoat,Received as gifts,,,,4,0,Cultural and traditional rites,,Within sub-location,,,10000,Yes,
5068,7,,2,2020,Jul-15,Camel,Exchange,,,,2,,Milking purposes,,,,,,,2
5068,7,,1,2019,Feb-15,Camel,Received as gifts,,,,2,,Expand herd,,,,,,,2
5069,1,,2,2009,Jun-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,700,,,
5069,1,,1,2009,Feb-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,800,,,
5069,2,,1,2010,Apr-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,1800,,,
5069,2,,2,2010,Jul-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,1700,,,
5069,7,,1,2020,Aug-15,Camel,Obtained as dowry,,,,1,,Expand herd,,,,,,,1
5070,3,0,2,2011,Jan-15,Shoat,Received as gifts,,,,1,0,Restocking from loss,,Within sub-location,,,1900,Yes,
5070,3,0,1,2010,Dec-14,Shoat,Received as gifts,,,,1,1,Diversify herd composition,,Within sub-location,,,1700,Yes,
5070,3,0,3,2011,May-15,Shoat,Loaned in/Borrowed,,,,2,1,Expand herd,,Within the location,,,4100,Yes,
5070,4,0,2,2012,Jul-15,Shoat,Received as gifts,,,,6,6,Expand herd,,Within the location,,,12000,Yes,
5070,4,0,1,2012,Mar-15,Camel,Loaned in/Borrowed,,,,5,5,Expand herd,,Within the location,,,150000,Yes,
5070,5,0,1,2013,Apr-15,Shoat,Received as gifts,,,,2,0,Expand herd,,Within sub-location,,,5000,Yes,
5070,5,0,2,2013,Jun-15,Shoat,Received as gifts,,,,2,0,Expand herd,,Within sub-location,,,6800,Yes,
5070,6,0,1,2015,Feb-15,Shoat,Received as gifts,,,,1,1,Cultural and traditional rites,,,.b,,2500,Yes,
5070,6,0,3,2015,Jun-15,Shoat,Received as gifts,,,,1,1,Cultural and traditional rites,,,.b,,2500,Yes,
5070,6,0,2,2015,Mar-15,Shoat,Received as gifts,,,,1,1,Cultural and traditional rites,,,.b,,2500,Yes,
5070,7,,2,2020,Sep-15,Camel,Exchange,,,,5,,Expand herd,,,,,,,2
5070,7,,1,2019,Feb-15,Camel,Received as gifts,,,,5,,Milking purposes,,,,,,,2
5072,1,,2,2009,Jun-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,700,,,
5072,1,,1,2009,Mar-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,1000,,,
5072,2,,1,2010,Apr-15,Shoat,Received as gifts,,,,2,1,Expand herd,,Within the location,,1650,,,
5072,3,0,2,2011,May-15,Shoat,Received as a part of a restocking program,,,,19,6,Restocking from loss,,Within the location,,,45000,Yes,
5072,3,0,1,2011,Apr-15,Camel,Received as gifts,,,,4,2,Restocking from loss,,Within the location,,,85000,Yes,
5072,4,0,1,2012,Apr-15,Shoat,Received as gifts,,,,2,0,Restocking from loss,,Within sub-location,,,6000,Yes,
5072,5,0,2,2013,Apr-15,Shoat,Purchased,,,,2,0,Expand herd,,Within the location,,,3500,Yes,
5072,5,0,1,2013,Feb-15,Shoat,Received as gifts,,,,2,0,Expand herd,,Within sub-location,,,2100,Yes,
5073,1,,3,2009,May-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,800,,,
5073,1,,2,2009,Apr-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,750,,,
5073,1,,1,2009,Mar-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,900,,,
5073,2,,1,2010,Mar-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the location,,1650,,,
5073,3,0,3,2011,Jan-15,Shoat,Received as gifts,,,,15,9,Expand herd,,Within the district,,,30000,Yes,
5073,3,0,2,2011,Mar-15,Cattle,Obtained as dowry,,,,1,1,Expand herd,,Within the location,,,20000,Yes,
5073,3,0,1,2011,Feb-15,Camel,Received as gifts,,,,1,1,Cultural and traditional rites,,Within sub-location,,,25000,Yes,
5073,4,0,1,2012,Jul-15,Shoat,Purchased,,,,2,2,Expand herd,,Within sub-location,,,6000,Yes,
5075,2,,1,2010,Jun-15,Camel,Received as gifts,,,,1,1,Expand herd,,Within the location,,17500,,,
5075,2,,2,2010,Sep-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within the location,,1200,,,
5075,3,0,2,2010,Dec-14,Shoat,Purchased,,,,4,4,Expand herd,,Within sub-location,,,12000,Yes,
5075,3,0,1,2011,Mar-15,Shoat,Received as gifts,,,,5,4,Restocking from loss,,Within sub-location,,,15000,Yes,
5075,5,0,1,2013,May-15,Camel,Received as gifts,,,,1,0,Expand herd,,Within the location,,,35000,Yes,
5075,5,0,3,2013,Jul-15,Shoat,Purchased,,,,2,2,Expand herd,,Within the location,,,4400,Yes,
5075,5,0,2,2013,Jun-15,Camel,Received as gifts,,,,1,0,Expand herd,,Within the location,,,30000,Yes,
5077,2,,1,2010,Apr-15,Shoat,Received as gifts,,,,7,0,Consumption,,Within the location,,1550,,,
5077,3,0,.b,.b,.b,.b,.b,,,,.b,.b,.b,,.b,,,.b,.b,
5077,5,0,1,2013,Sep-15,Shoat,Received as gifts,,,,4,4,Restocking from loss,,Within the district,,,8000,Yes,
5082,2,,1,2010,Apr-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within the location,,1150,,,
5082,4,0,1,2012,Mar-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within sub-location,,,2000,Yes,
5082,5,0,3,2013,Jun-15,Shoat,Received as gifts,,,,2,0,Expand herd,,Within sub-location,,,4200,Yes,
5082,5,0,1,2013,Jun-15,Cattle,Received as gifts,,,,1,1,Expand herd,,Within the location,,,20000,Yes,
5082,5,0,2,2013,May-15,Shoat,Received as gifts,,,,2,2,Expand herd,,Within the location,,,3500,Yes,
5082,7,,1,2020,Dec-14,Sheep,Received as gifts,,,,2,,Business/Trading,,,,,,,1
5084,2,,1,2010,Jan-15,Shoat,Loaned in/Borrowed,,,,1,1,Cultural and traditional rites,,Within the location,,2000,,,
5084,2,,2,2010,Aug-15,Shoat,Loaned in/Borrowed,,,,1,1,Cultural and traditional rites,,Within the location,,1000,,,
5084,3,0,1,2011,Aug-15,Camel,Received as gifts,,,,3,1,Cultural and traditional rites,,Within the district,,,60000,Yes,
5084,4,0,2,2011,Dec-14,Cattle,Received as gifts,,,,2,2,Expand herd,,Within sub-location,,,40000,Yes,
5084,4,0,3,2012,Jul-15,Shoat,Received as gifts,,,,6,4,Expand herd,,Outside the district,,,24000,Yes,
5084,4,0,1,2012,Jul-15,Camel,Received as gifts,,,,3,0,Expand herd,,Within the location,,,120000,Yes,
5084,4,0,4,2012,Apr-15,Shoat,Received as gifts,,,,8,5,Expand herd,,Within sub-location,,,32000,Yes,
5084,5,0,1,2013,Jan-15,Shoat,Purchased,,,,3,2,Expand herd,,Within sub-location,,,7500,Yes,
5084,5,0,2,2013,Mar-15,Shoat,Received as gifts,,,,4,1,Expand herd,,Within the location,,,6000,Yes,
5084,5,0,3,2013,Jun-15,Shoat,Received as gifts,,,,2,0,Milking purposes,,Within sub-location,,,3000,Yes,
5084,6,0,1,2015,Jun-15,Camel,Obtained as dowry,,,,2,1,Cultural and traditional rites,,,.b,,65000,Yes,
5084,7,,2,2020,Dec-14,Sheep,Received as gifts,,,,2,,Expand herd,,,,,,,2
5084,7,,1,2020,Jul-15,Sheep,Received as gifts,,,,2,,Expand herd,,,,,,,2
5086,2,,1,2010,May-15,Shoat,Received as gifts,,,,2,1,Expand herd,,Within the location,,1450,,,
5086,3,0,1,2011,Apr-15,Shoat,Loaned in/Borrowed,,,,3,2,Milking purposes,,Within the district,,,8000,Yes,
5086,4,0,1,2011,Dec-14,Shoat,Received as gifts,,,,2,0,Expand herd,,Within sub-location,,,6000,Yes,
5086,4,0,2,2012,Mar-15,Shoat,Purchased,,,,25,19,Expand herd,,Within sub-location,,,50000,Yes,
5086,7,,1,2020,Jul-15,Goat,Received as gifts,,,,2,,Expand herd,,,,,,,1
5086,7,,1,2020,Jul-15,Sheep,Received as gifts,,,,3,,Expand herd,,,,,,,1
5086,7,,1,2020,Jul-15,Camel,Received as gifts,,,,1,,Expand herd,,,,,,,1
5088,3,0,1,2011,Mar-15,Shoat,Received as gifts,,,,8,1,Expand herd,,Within the location,,,8000,Yes,
5088,6,0,1,2015,Apr-15,Shoat,Received as gifts,,,,1,0,Consumption,,,.b,,3000,Yes,
5088,7,,1,2020,Jul-15,Sheep,Received as gifts,,,,1,,Expand herd,,,,,,,1
5089,2,,1,2009,Dec-14,Shoat,Received as a part of a restocking program,,,,34,34,Restocking from loss,,Within the district,,1800,,,
5089,3,0,3,2011,Jul-15,Shoat,Received as gifts,,,,29,29,Expand herd,,Within the location,,,87000,Yes,
5089,3,0,1,2011,Feb-15,Camel,Other (specify),,,,2,1,Cultural and traditional rites,,Within the location,,,80000,Yes,
5089,3,0,2,2011,May-15,Shoat,Received as a part of a restocking program,,,,28,18,Restocking from loss,,Within the district,,,84000,Yes,
5089,7,,1,2019,Mar-15,Sheep,Received as gifts,,,,1,,Expand herd,,,,,,,1
5089,7,,1,2020,Apr-15,Goat,Loaned in/Borrowed,,,,1,,Milking purposes,,,,,,,1
5092,6,0,1,2015,Feb-15,Shoat,Received as gifts,,,,2,0,Expand herd,,,.b,,2500,Yes,
5093,4,0,1,2012,Jan-15,Shoat,Received as gifts,,,,4,4,Expand herd,,Within sub-location,,,8000,Yes,
5093,6,0,1,2014,Nov-14,Shoat,Loaned in/Borrowed,Long term borrowing/lending,Clan member,,1,0,Diversify herd composition,,,.b,,2400,Yes,
5093,7,,1,2020,Dec-14,Camel,Obtained as dowry,,,,2,,Cultural and traditional rites,,,,,,,1
5093,7,,1,2020,Dec-14,Goat,Received as gifts,,,,3,,Expand herd,,,,,,,1
5094,4,0,1,2011,Dec-14,Shoat,Received as gifts,,,,3,2,Diversify herd composition,,Within sub-location,,,89000,Yes,
5095,6,0,1,2015,May-15,Camel,Obtained as dowry,,,,1,1,Cultural and traditional rites,,,.b,,60000,Yes,
5095,6,0,2,2015,Jun-15,Shoat,Loaned in/Borrowed,Long term borrowing/lending,Clan member,,3,3,Restocking from loss,,,.b,,9000,Yes,
5096,4,0,1,2012,May-15,Camel,Obtained as dowry,,,,1,0,Cultural and traditional rites,,Within sub-location,,,35000,Yes,
5096,4,0,2,2011,Oct-14,Shoat,Received as gifts,,,,2,2,Restocking from loss,,Within sub-location,,,4000,Yes,
5096,5,0,1,2013,May-15,Camel,Received as gifts,,,,1,1,Expand herd,,Within sub-location,,,35000,Yes,
5096,5,0,2,2013,Feb-15,Shoat,Received as gifts,,,,8,8,Expand herd,,Within the location,,,16000,Yes,
5096,5,0,4,2013,Aug-15,Shoat,Purchased,,,,4,4,Expand herd,,Within the location,,,12000,Yes,
5096,5,0,3,2013,Apr-15,Shoat,Received as gifts,,,,5,3,Expand herd,,Within the location,,,9500,Yes,
5096,7,,1,2020,Jul-15,Camel,Received as gifts,,,,1,,Business/Trading,,,,,,,1
6001,3,0,2,2011,Aug-15,Shoat,Purchased,,,,3,3,Expand herd,,Within the district,,,6000,Yes,
6001,3,0,1,2011,Jan-15,Shoat,Loaned in/Borrowed,,,,8,5,Restocking from loss,,Within sub-location,,,16000,Yes,
6001,4,0,1,2012,Feb-15,Shoat,Received as gifts,,,,6,6,Expand herd,,Within sub-location,,,18000,Yes,
6001,5,0,2,2013,Mar-15,Shoat,Received as gifts,,,,1,0,Expand herd,,Within sub-location,,,2500,Yes,
6001,5,0,1,2012,Dec-14,Shoat,Received as gifts,,,,3,0,Expand herd,,Within the location,,,6000,Yes,
6001,5,0,3,2013,Aug-15,Shoat,Received as gifts,,,,1,0,Expand herd,,Within the location,,,5000,Yes,
6001,7,,1,2020,Dec-14,Sheep,Purchased,,,,4,,Expand herd,,,,2900,11600,,1
6002,2,,1,2010,Jun-15,Shoat,Received as gifts,,,,1,0,Cultural and traditional rites,,Within the location,,3000,,,
6002,2,,2,2010,Aug-15,Shoat,Purchased,,,,22,20,Expand herd,,Within the location,,2500,,,
6002,3,0,2,2010,Dec-14,Shoat,Received as gifts,,,,20,0,Expand herd,,Within the location,,,20000,Yes,
6002,3,0,1,.a,.a,Camel,Obtained as dowry,,,,3,3,Cultural and traditional rites,,Within the location,,,9000,Yes,
6002,3,0,3,.a,.a,Shoat,Received as gifts,,,,21,6,Cultural and traditional rites,,Within the location,,,21000,Yes,
6002,4,0,1,2011,Dec-14,Shoat,Received as gifts,,,,7,5,Consumption,,Within the location,,,21000,Yes,
6002,5,0,1,2012,Dec-14,Camel,Obtained as dowry,,,,2,0,Cultural and traditional rites,,Within sub-location,,,80000,Yes,
6004,1,,1,2009,Jun-15,Shoat,Received as gifts,,,,1,0,Consumption,,Within sub-location,,700,,,
6004,1,,3,2009,Sep-15,Shoat,Purchased,,,,1,0,Consumption,,Within sub-location,,800,,,
6004,1,,2,2009,Aug-15,Shoat,Purchased,,,,1,0,Consumption,,Within sub-location,,600,,,
6004,2,,1,2010,Jul-15,Cattle,Purchased,,,,4,4,Expand herd,,Within the location,,25000,,,
6004,3,0,1,2010,Dec-14,Cattle,Obtained as dowry,,,,6,4,Milking purposes,,Within the location,,,120000,Yes,
6004,3,0,2,2011,Mar-15,Shoat,Purchased,,,,9,0,Business/Trading,,Within the district,,,9000,Yes,
6004,4,0,1,2012,Apr-15,Shoat,Received as gifts,,,,5,4,Expand herd,,Within the location,,,12000,Yes,
6004,5,0,1,2013,Feb-15,Shoat,Purchased,,,,18,5,Restocking from loss,,Within sub-location,,,45000,Yes,
6005,1,,2,2009,Feb-15,Shoat,Purchased,,,,1,0,Consumption,,Within sub-location,,1100,,,
6005,1,,3,2009,Mar-15,Shoat,Purchased,,,,3,0,Restocking from loss,,Within sub-location,,800,,,
6005,1,,1,2009,Jan-15,Shoat,Purchased,,,,2,0,Restocking from loss,,Within sub-location,,100,,,
6005,1,,4,2009,Apr-15,Shoat,Purchased,,,,3,0,Restocking from loss,,Within sub-location,,900,,,
6005,2,,1,2009,Dec-14,Cattle,Purchased,,,,7,5,Expand herd,,Outside the district,,15000,,,
6005,3,0,2,2010,Dec-14,Shoat,Purchased,,,,13,7,Business/Trading,,Within the location,,,35750,Yes,
6005,3,0,1,2011,Apr-15,Cattle,Exchange,,,,2,2,Expand herd,,Within the location,,,15000,Yes,
6005,3,0,3,2011,Apr-15,Shoat,Purchased,,,,5,3,Business/Trading,,Within the location,,,10000,Yes,
6005,4,0,1,2012,Jun-15,Shoat,Received as gifts,,,,5,3,Cultural and traditional rites,,Within sub-location,,,20000,Yes,
6005,6,0,1,2014,Dec-14,Camel,Received as gifts,,,,1,0,Cultural and traditional rites,,,.b,,50000,Yes,
6005,6,0,2,2015,Sep-15,Cattle,Loaned in/Borrowed,Long term borrowing/lending,Family member,,1,1,Expand herd,,,.b,,30000,Yes,
6005,7,,2,2020,Dec-14,Camel,Obtained as dowry,,,,3,,Expand herd,,,,,,,2
6005,7,,1,2020,Jul-15,Camel,Exchange,,,,3,,Milking purposes,,,,,,,2
