hhid,round,comment,intakeevent,s6q27a,s6q27b,s6q28,s6q29,s6q29a,s6q29a1,s6q29b,s6q30,s6q31,s6q32,s6q32b,s6q33,s6q33_r6,s6q34,s6q34b,s6q34c,s6q34d
1032,5,0,1,2013,Sep-15,Camel,Received as gifts,,,,2,0,Cultural and traditional rites,,Within the location,,,80000,Yes,
1034,4,0,1,2011,Nov-14,Shoat,Purchased,,,,10,8,Expand herd,,Within sub-location,,,30000,Yes,
1035,4,0,1,2012,Feb-15,Shoat,Received as gifts,,,,4,0,Diversify herd composition,,Within the district,,,80000,Yes,
1036,3,0,1,2011,Jan-15,Camel,Received as gifts,,,,1,1,Restocking from loss,,Outside the district,,,35000,Yes,
1036,4,0,1,2012,Aug-15,Cattle,Purchased,,,,2,2,Expand herd,,Within the district,,,36000,Yes,
1036,4,0,2,2012,Sep-15,Cattle,Purchased,,,,2,2,Expand herd,,Within the district,,,32000,Yes,
1036,7,,2,2020,Dec-14,Cattle,Purchased,,,,2,,Expand herd,,,,12000,24000,,2
1036,7,,1,2020,Dec-14,Cattle,Purchased,,,,2,,Expand herd,,,,12500,25000,,2
1039,4,0,1,2011,Dec-14,Shoat,Purchased,,,,1,1,Start herd,,Within the district,,,3600,Yes,
1039,5,0,1,2013,May-15,Shoat,Purchased,,,,2,2,Expand herd,,Within sub-location,,,16000,Yes,
1039,6,0,2,2015,Mar-15,Shoat,Purchased,,,,1,1,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,4000,Yes,
1039,6,0,1,2014,Nov-14,Cattle,Purchased,,,,1,0,Consumption,,,Large livestock market (e.g Marsabit and Merille),,30000,Yes,
1039,7,,1,2020,Dec-14,Cattle,Purchased,,,,1,,Cultural and traditional rites,,,,34000,34000,,1
1039,7,,1,2020,Dec-14,Goat,Purchased,,,,2,,Cultural and traditional rites,,,,7000,14000,,1
1042,5,0,1,2013,Mar-15,Shoat,Purchased,,,,4,3,Start herd,,Within sub-location,,,12000,Yes,
1042,6,0,1,2015,Feb-15,Cattle,Purchased,,,,2,0,Consumption,,,Large livestock market (e.g Marsabit and Merille),,60000,Yes,
1043,4,0,1,2012,Jul-15,Camel,Received as gifts,,,,2,2,Restocking from loss,,Outside the district,,,40000,Yes,
1043,4,0,2,2012,Sep-15,Camel,Received as a part of a restocking program,,,,2,2,Expand herd,,Within the district,,,40000,Yes,
1045,2,,2,2010,Jun-15,Cattle,Purchased,,,,10,10,Expand herd,,Within the district,,11000,,,
1045,2,,1,2010,Apr-15,Camel,Purchased,,,,5,5,Expand herd,,Within the district,,20000,,,
1045,2,,3,2010,Aug-15,Shoat,Purchased,,,,10,8,Expand herd,,Within the district,,2000,,,
1047,4,0,1,2012,Jan-15,Shoat,Purchased,,,,2,1,Restocking from loss,,Within the district,,,4000,Yes,
1047,6,0,1,2015,Sep-15,Shoat,Received as gifts,,,,5,4,Other (specify),DONATED BY SOS,,.b,,10000,Yes,
2001,4,0,1,2011,Dec-14,Cattle,Received as gifts,,,,1,1,Expand herd,,Within the district,,,25000,Yes,
2001,4,0,2,2012,Jan-15,Cattle,Purchased,,,,1,1,Milking purposes,,Within the district,,,20000,Yes,
2001,5,0,1,2013,Aug-15,Cattle,Loaned in/Borrowed,,,,1,0,9,,Within the location,,,28000,Yes,
2002,1,,1,2009,Sep-15,Camel,Purchased,,,,1,1,Restocking from loss,,Outside the district,,18500,,,
2002,2,,1,2010,May-15,Cattle,Loaned in/Borrowed,,,,3,3,Milking purposes,,Within sub-location,,12000,,,
2002,2,,4,2010,Jul-15,Camel,Purchased,,,,1,1,Diversify herd composition,,Outside the district,,35000,,,
2002,2,,3,2010,Jul-15,Shoat,Purchased,,,,1,1,Milking purposes,,Within sub-location,,2800,,,
2002,2,,2,2010,Jun-15,Cattle,Purchased,,,,6,6,Business/Trading,,Outside the district,,7000,,,
2002,4,0,1,2012,Aug-15,Cattle,Purchased,,,,2,1,Expand herd,,Within the district,,,32000,Yes,
2002,5,0,2,2013,Apr-15,Shoat,Purchased,,,,1,1,Expand herd,,Within sub-location,,,4000,Yes,
2002,5,0,1,2012,Oct-14,Cattle,Purchased,,,,2,0,Expand herd,,Within sub-location,,,80000,Yes,
2002,6,0,1,2015,Mar-15,Shoat,Purchased,,,,16,16,Expand herd,,,Large livestock market (e.g Marsabit and Merille),,50000,Yes,
2003,7,,1,2019,Jan-15,Cattle,Obtained as dowry,,,,1,,Cultural and traditional rites,,,,,,,1
2004,6,0,1,2015,Jan-15,Shoat,Purchased,,,,1,1,Expand herd,,,A livestock trader passing by my village,,2500,Yes,
2005,2,,2,2010,Feb-15,Shoat,Loaned in/Borrowed,,,,7,6,9,,Within sub-location,,1500,,,
2005,2,,1,2010,Jun-15,Cattle,Purchased,,,,10,0,Restocking from loss,,Outside the district,,10000,,,
2005,4,0,1,2011,Nov-14,Shoat,Purchased,,,,11,11,Restocking from loss,,Within sub-location,,,11000,Yes,
2005,5,0,1,2013,Feb-15,Shoat,Received as gifts,,,,1,1,Diversify herd composition,,Within sub-location,,,2000,Yes,
2005,6,0,1,2015,Jan-15,Shoat,Purchased,,,,12,5,Restocking from loss,,,Large livestock market (e.g Marsabit and Merille),,60000,Yes,
2007,2,,1,2010,Mar-15,Shoat,Loaned in/Borrowed,,,,2,2,Milking purposes,,Within sub-location,,2000,,,
2007,4,0,1,2012,Sep-15,Shoat,Received as gifts,,,,2,2,Milking purposes,,Within sub-location,,,6000,Yes,
2008,2,,1,2010,Mar-15,Camel,Purchased,,,,4,4,Diversify herd composition,,Outside the district,,30000,,,
2008,2,,2,2010,May-15,Camel,Purchased,,,,4,4,Diversify herd composition,,Outside the district,,40000,,,
2008,4,0,2,2011,Dec-14,Shoat,Received as gifts,,,,6,5,Expand herd,,Within the location,,,24000,Yes,
2008,4,0,1,2011,Oct-14,Cattle,Purchased,,,,2,1,Expand herd,,Within the location,,,40000,Yes,
2008,5,0,1,2012,Dec-14,Cattle,Purchased,,,,1,0,Consumption,,Within the district,,,20000,Yes,
2008,6,0,1,2015,May-15,Cattle,Purchased,,,,5,0,Expand herd,,,A livestock trader passing by my village,,82000,Yes,
2009,2,,4,2010,Aug-15,Cattle,Loaned in/Borrowed,,,,2,0,10,,Within sub-location,,14000,,,
2009,2,,1,2009,Dec-14,Cattle,Loaned in/Borrowed,,,,2,2,9,,Within sub-location,,20000,,,
2009,2,,3,2010,Jul-15,Cattle,Purchased,,,,2,0,10,,Within sub-location,,10500,,,
2009,2,,2,2010,Feb-15,Cattle,Loaned in/Borrowed,,,,1,1,Milking purposes,,Within sub-location,,15000,,,
2009,3,0,3,2011,Jul-15,Shoat,Purchased,,,,2,2,Diversify herd composition,,Within the location,,,4150,Yes,
2009,3,0,2,2011,Jun-15,Shoat,Purchased,,,,1,1,Diversify herd composition,,Within the location,,,1400,Yes,
2009,3,0,1,2011,May-15,Shoat,Purchased,,,,1,1,Diversify herd composition,,Within the location,,,1800,Yes,
2009,5,0,1,2013,Mar-15,Cattle,Purchased,,,,2,2,Expand herd,,Within sub-location,,,32000,Yes,
2010,4,0,1,2011,Dec-14,Shoat,Received as gifts,,,,1,1,Start herd,,Within the district,,,3000,Yes,
2010,5,0,1,2013,Feb-15,Shoat,Received as a part of a restocking program,,,,4,4,Expand herd,,Within the district,,,20000,Yes,
2010,5,0,2,2013,Apr-15,Shoat,Other (specify),,,Thabare-she was given to milk and return,1,1,Milking purposes,,Within the district,,,4500,Yes,
2010,5,0,3,2013,Jul-15,Shoat,Received as gifts,,,,6,6,Milking purposes,,Within the district,,,27000,Yes,
2011,2,,1,2009,Oct-14,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,Within the district,,10000,,,
2011,2,,2,2010,Apr-15,Cattle,Purchased,,,,4,1,Restocking from loss,,Within sub-location,,9000,,,
2011,2,,3,2010,May-15,Cattle,Loaned in/Borrowed,,,,13,10,9,,Within the location,,10000,,,
2011,5,0,1,2013,May-15,Cattle,Purchased,,,,1,0,Expand herd,,Within sub-location,,,17000,Yes,
2011,5,0,2,2013,Mar-15,Shoat,Purchased,,,,2,2,Milking purposes,,Within the location,,,6000,Yes,
2011,7,,1,2020,Nov-14,Cattle,Obtained as dowry,,,,1,,Cultural and traditional rites,,,,,,,1
2012,2,,1,2010,Jan-15,Shoat,Purchased,,,,4,4,Restocking from loss,,Within sub-location,,2000,,,
2012,2,,2,2010,Feb-15,Shoat,Purchased,,,,2,2,Restocking from loss,,Within sub-location,,1800,,,
2012,3,0,1,2011,Aug-15,Cattle,Purchased,,,,1,0,Restocking from loss,,Within sub-location,,,5000,Yes,
2012,3,0,2,2011,Aug-15,Shoat,Purchased,,,,5,0,Restocking from loss,,Within the location,,,15000,Yes,
2012,4,0,1,2012,Jun-15,Shoat,Purchased,,,,2,2,Expand herd,,Within the district,,,5200,Yes,
2015,4,0,1,2012,May-15,Shoat,Purchased,,,,1,1,Start herd,,Within the district,,,1500,Yes,
2015,4,0,2,2012,Jun-15,Shoat,Purchased,,,,1,1,Start herd,,Within sub-location,,,3500,Yes,
2015,6,0,1,2015,Jul-15,Shoat,Purchased,,,,3,3,Expand herd,,,Small livestock market,,10000,Yes,
2016,2,,1,2009,Dec-14,Cattle,Received as gifts,,,,2,1,Restocking from loss,,Outside the district,,15000,,,
2017,1,,1,2008,Dec-14,Cattle,Purchased,,,,1,1,Milking purposes,,Within the district,,9500,,,
2017,6,1,1,2015,Feb-15,Shoat,Purchased,,,,5,3,Restocking from loss,,,Large livestock market (e.g Marsabit and Merille),,21500,Yes,
2018,1,,1,2009,Jul-15,Shoat,Received as gifts,,,,1,1,Expand herd,,Within the district,,2000,,,
2018,5,0,1,2013,Mar-15,Cattle,Purchased,,,,1,0,9,,Within sub-location,,,25000,Yes,
2018,5,0,2,2013,Sep-15,Shoat,Purchased,,,,1,1,Start herd,,Within sub-location,,,2000,Yes,
2018,7,,1,2020,Aug-15,Goat,Received as gifts,,,,4,,Consumption,,,,,,,1
2019,2,,1,2010,Mar-15,Shoat,Purchased,,,,4,2,Diversify herd composition,,Within sub-location,,1825,,,
2019,3,0,1,2011,Jul-15,Shoat,Purchased,,,,5,5,Expand herd,,Within sub-location,,,10000,Yes,
2019,7,,1,2020,Apr-15,Goat,Received as gifts,,,,1,,Cultural and traditional rites,,,,,,,1
2020,2,,1,2010,Jun-15,Cattle,Purchased,,,,1,0,10,,Within sub-location,,7000,,,
2020,4,0,1,2012,Jun-15,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,Within the location,,,15000,Yes,
2020,4,0,2,2012,Jul-15,Shoat,Obtained as dowry,,,,1,1,Cultural and traditional rites,,Within the location,,,5000,Yes,
2021,6,0,1,2014,Dec-14,Shoat,Purchased,,,,2,1,Expand herd,,,Small livestock market,,7000,Yes,
2022,5,0,1,2013,Jul-15,Cattle,Purchased,,,,1,1,Cultural and traditional rites,,Within the district,,,18000,Yes,
2022,5,0,2,2013,Sep-15,Cattle,Purchased,,,,1,0,9,,Within the district,,,20000,Yes,
2022,6,0,1,2015,Jan-15,Cattle,Obtained as dowry,,,,1,1,Cultural and traditional rites,,,.b,,25000,Yes,
