hhid,round,comment,offtakeevent,s6q36a,s6q36b,s6q37,s6q38,s6q38b,s6q38c,s6q38d,s6q39,s6q40,s6q41,s6q41b,s6q41b16,s6q42,s6q42_r6,s6q43,s6q43b,s6q43c,s6q43d
5041,2,,1,2010,February,Goat/Sheep,Sold,,,,.b,4,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,2250,,,
5041,2,,2,2010,June,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,21200,,,
5041,3,0,1,2011,May,Goat/Sheep,Sold,,,,4,4,Spread risks of loss,,,Within the location,,,6000,Yes,
5041,4,0,1,2012,March,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,,9000,Yes,
5041,4,0,2,2012,August,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the location,,,2000,Yes,
5041,5,0,2,2013,August,Goat/Sheep,Sold,,,,4,0,For regular cash/income,,,Within the sub-location,,,10000,Yes,
5041,5,0,1,2013,April,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,,3000,Yes,
5041,6,0,2,2014,October,Goat/Sheep,Sold,,,,10,4,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,29000,Yes,
5041,6,0,1,2014,December,Camel,Gave as gifts,,,,1,0,Cultural reasons/dowry,,,,,,43000,Yes,
5041,6,0,4,2015,June,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,,A livestock trader within the village,,2800,Yes,
5041,6,0,3,2015,January,Goat/Sheep,Sold,,,,11,6,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,35500,Yes,
5041,7,,1,2020,November,Sheep,Sold,,,,1,,For regular cash/income,,,,,2000,2000,,1
5041,7,,1,2020,November,Goat,Sold,,,,3,,School fees/sick child/other consumption,,,,,6000,18000,,1
5042,1,,2,2009,May,Goat/Sheep,Sold,,,,7,3,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,2500,,,
5042,1,,3,2009,September,Goat/Sheep,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,1100,,,
5042,1,,1,2008,December,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,3500,,,
5043,1,,1,2008,October,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,1000,,,
5043,1,,3,2009,February,Goat/Sheep,Sold,,,,3,3,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,700,,,
5043,1,,2,2009,January,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the location,,800,,,
5043,1,,4,2009,April,Goat/Sheep,Sold,,,,4,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,600,,,
5043,2,,1,2010,April,Goat/Sheep,Sold,,,,6,3,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,1500,,,
5043,3,0,2,2011,May,Goat/Sheep,Sold,,,,4,4,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,6000,Yes,
5043,3,0,1,2011,May,Camel,Sold,,,,1,1,Spread risks of loss,,,Within the location,,,35000,Yes,
5043,4,0,1,2012,July,Camel,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,40000,Yes,
5043,4,0,2,2011,November,Camel,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,30000,Yes,
5043,4,0,3,2012,April,Goat/Sheep,Sold,,,,3,0,For regular cash/income,,,Within the sub-location,,,9000,Yes,
5043,4,0,4,2012,February,Goat/Sheep,Loaned,,,,2,0,Help others in bad times,,,Within the location,,,4000,Yes,
5043,5,0,1,2013,February,Goat/Sheep,Sold,,,,7,3,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,28800,Yes,
5043,5,0,2,2013,April,Goat/Sheep,Sold,,,,5,3,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,16700,Yes,
5043,5,0,3,2013,August,Goat/Sheep,Sold,,,,5,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,14600,Yes,
5043,6,0,1,2015,March,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,,Small livestock market,,10000,Yes,
5044,2,,1,2010,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1500,,,
5044,7,,1,2020,June,Goat,Sold,,,,8,,For regular cash/income,,,,,5000,40000,,1
5045,1,,2,2009,May,Goat/Sheep,Pay debt,,,,1,0,Pay debt,,,Within the sub-location,,1200,,,
5045,1,,3,2009,September,Goat/Sheep,Sold,,,,1,0,Pay debt,,,Within the sub-location,,1100,,,
5045,1,,1,2008,December,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,1000,,,
5045,2,,1,2010,June,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,2250,,,
5045,3,0,1,2011,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,1300,Yes,
5045,5,0,1,2013,February,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,Within the sub-location,,,8000,Yes,
5045,6,0,3,2015,June,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,,A livestock trader within the village,,5500,Yes,
5045,6,0,1,2014,December,Goat/Sheep,Sold,,,,6,2,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,17500,Yes,
5045,6,0,2,2015,March,Goat/Sheep,Sold,,,,3,0,For regular cash/income,,,,A livestock trader passing by my village,,7500,Yes,
5045,7,,2,2020,December,Camel,Gave as gifts,,,,2,,Cultural reasons/dowry,,,,,,,,2
5045,7,,1,2020,December,Camel,Gave as dowry,,,,2,,Cultural reasons/dowry,,,,,,,,2
5045,7,,1,2020,December,Sheep,Sold,,,,12,,Cultural reasons/dowry,,,,,3000,36000,,1
5045,7,,1,2020,December,Goat,Sold,,,,8,,Cultural reasons/dowry,,,,,5250,42000,,1
5046,1,,1,2008,November,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,800,,,
5046,1,,10,2009,April,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1000,,,
5046,2,,1,2010,June,Goat/Sheep,Sold,,,,1,0,Pay debt,,,Within the sub-location,,2700,,,
5046,2,,2,2010,August,Goat/Sheep,Sold,,,,1,0,Pay debt,,,Within the sub-location,,2500,,,
5046,3,0,1,2011,August,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,2400,Yes,
5046,3,0,2,2011,September,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,1000,Yes,
5046,4,0,1,2012,March,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,2000,Yes,
5046,4,0,2,2012,July,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the location,,,2500,Yes,
5046,5,0,3,2013,August,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,Within the location,,,4500,Yes,
5046,5,0,1,2012,December,Goat/Sheep,Sold,,,,3,0,For regular cash/income,,,Within the location,,,9000,Yes,
5046,5,0,2,2013,April,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the location,,,4000,Yes,
5046,6,0,2,2015,July,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,6000,Yes,
5046,6,0,1,2015,January,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,,A livestock trader passing by my village,,1500,Yes,
5046,7,,1,2020,April,Sheep,Sold,,,,2,,For regular cash/income,,,,,1000,2000,,2
5046,7,,2,2020,May,Goat,Sold,,,,8,,For regular cash/income,,,,,1187.5,9500,,3
5046,7,,2,2020,August,Sheep,Sold,,,,2,,For regular cash/income,,,,,1000,2000,,2
5046,7,,1,2019,February,Goat,Sold,,,,8,,For regular cash/income,,,,,750,6000,,3
5046,7,,3,2020,August,Goat,Sold,,,,8,,For regular cash/income,,,,,937.5,7500,,3
5047,1,,2,2009,April,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,1000,,,
5047,1,,3,2009,July,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,1000,,,
5047,1,,1,2008,November,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,900,,,
5047,1,,4,2009,September,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,800,,,
5047,2,,1,2009,November,Goat/Sheep,Sold,,,,7,3,For regular cash/income,,,Outside the district,,3000,,,
5047,2,,2,2010,July,Camel,Gave as gifts,,,,1,0,Cultural reasons/dowry,,,Within the location,,30000,,,
5047,3,0,2,2011,July,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the location,,,7200,Yes,
5047,3,0,1,2011,February,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,,7600,Yes,
5047,4,0,1,2012,August,Goat/Sheep,Sold,,,,7,3,For regular cash/income,,,Within the sub-location,,,14000,Yes,
5047,5,0,4,2013,June,Camel,Gave as gifts,,,,1,1,Cultural reasons/dowry,,,Within the location,,,30000,Yes,
5047,5,0,3,2013,January,Goat/Sheep,Sold,,,,3,3,For regular cash/income,,,Within the location,,,12000,Yes,
5047,5,0,1,2013,May,Camel,Sold,,,,2,0,For regular cash/income,,,Within the sub-location,,,90000,Yes,
5047,5,0,2,2013,July,Goat/Sheep,Sold,,,,5,2,For regular cash/income,,,Within the location,,,21000,Yes,
5047,6,0,2,2015,June,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,,A livestock trader passing by my village,,4500,Yes,
5047,6,0,1,2015,April,Goat/Sheep,Sold,,,,3,0,For regular cash/income,,,,A livestock trader within the village,,15500,Yes,
5047,7,,1,2020,December,Goat,Pay debt,,,,1,,Pay debt,,,,,,,,1
5049,1,,1,2009,May,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,800,,,
5049,1,,3,2009,September,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,600,,,
5049,1,,2,2009,July,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,700,,,
5049,2,,2,2010,July,Goat/Sheep,Sold,,,,4,0,For regular cash/income,,,Within the sub-location,,2000,,,
5049,2,,1,2010,April,Camel,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,22000,,,
5049,3,0,1,2011,May,Camel,Sold,,,,4,0,Cultural reasons/dowry,,,Within the sub-location,,,120000,Yes,
5049,3,0,2,2011,May,Goat/Sheep,Sold,,,,15,11,Cultural reasons/dowry,,,Outside the district,,,30000,Yes,
5049,4,0,1,2012,May,Camel,Sold,,,,3,0,Cultural reasons/dowry,,,Within the sub-location,,,90000,Yes,
5049,5,0,2,2013,July,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,Within the sub-location,,,7500,Yes,
5049,5,0,1,2013,June,Camel,Gave as gifts,,,,1,0,Cultural reasons/dowry,,,Within the sub-location,,,30000,Yes,
5049,7,,1,2020,November,Goat,Sold,,,,2,,For regular cash/income,,,,,3000,6000,,1
5050,1,,2,2009,April,Goat/Sheep,Sold,,,,2,2,Spread risks of loss,,,Within the sub-location,,700,,,
5050,1,,1,2008,December,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,800,,,
5050,1,,3,2009,August,Goat/Sheep,Sold,,,,2,2,Spread risks of loss,,,Within the sub-location,,500,,,
5050,2,,1,2010,April,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Outside the district,,2700,,,
5050,2,,2,2010,June,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Outside the district,,2500,,,
5050,3,0,2,2011,July,Goat/Sheep,Pay debt,,,,3,2,Pay debt,,,Within the sub-location,,,8600,Yes,
5050,3,0,1,2011,February,Goat/Sheep,Pay debt,,,,3,2,Pay debt,,,Within the sub-location,,,8100,Yes,
5050,4,0,2,2012,February,Goat/Sheep,Sold,,,,7,2,For regular cash/income,,,Within the sub-location,,,17500,Yes,
5050,4,0,3,2012,May,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,Within the location,,,5400,Yes,
5050,4,0,1,2011,December,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,,9000,Yes,
5050,4,0,4,2012,July,Goat/Sheep,Sold,,,,8,3,For regular cash/income,,,Within the sub-location,,,20000,Yes,
5050,5,0,3,2013,April,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,Within the location,,,4000,Yes,
5050,5,0,1,2012,December,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the location,,,3500,Yes,
5050,5,0,2,2013,February,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,3000,Yes,
5050,6,0,1,2015,July,Goat/Sheep,Sold,,,,9,4,Coping with drought (need money to buy food/necessities duing drought),,,,A livestock trader within the village,,25000,Yes,
5050,7,,1,2020,November,Goat,Sold,,,,1,,For regular cash/income,,,,,4000,4000,,1
5051,1,,3,2009,September,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,900,,,
5051,1,,1,2008,November,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,1100,,,
5051,1,,2,2009,February,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,1000,,,
5051,2,,1,2010,February,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,800,,,
5051,3,0,2,2011,August,Goat/Sheep,Hirb (animals givendue to loss),,,,3,1,Spread risks of loss,,,Within the sub-location,,,7100,Yes,
5051,3,0,1,2011,March,Goat/Sheep,Gave as gifts,,,,3,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,7000,Yes,
5051,4,0,1,2012,June,Camel,Gave as gifts,,,,2,1,Cultural reasons/dowry,,,Within the sub-location,,,40000,Yes,
5051,4,0,2,2012,September,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,4000,Yes,
5051,5,0,2,2013,June,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the district,,,6000,Yes,
5051,5,0,1,2013,June,Camel,Gave as gifts,,,,1,1,Cultural reasons/dowry,,,Within the district,,,40000,Yes,
5051,7,,2,2020,December,Sheep,Gave as gifts,,,,8,,Cultural reasons/dowry,,,,,,,,2
5051,7,,1,2020,July,Goat,Sold,,,,9,,For regular cash/income,,,,,2222.222168,20000,,2
5051,7,,1,2019,March,Sheep,Sold,,,,8,,School fees/sick child/other consumption,,,,,2162.5,17300,,2
5051,7,,2,2020,November,Goat,Sold,,,,9,,For regular cash/income,,,,,2055.555664,18500,,2
5052,1,,1,2008,May,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,600,,,
5052,1,,2,2009,August,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,700,,,
5052,2,,2,2010,March,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,1800,,,
5052,2,,3,2010,April,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,2000,,,
5052,2,,4,2010,May,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,2500,,,
5052,2,,1,2010,January,Goat/Sheep,Sold,,,,2,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,800,,,
5052,4,0,1,2012,May,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,Within the location,,,5000,Yes,
5052,4,0,2,2012,March,Goat/Sheep,Gave as gifts,,,,6,1,Spread risks of loss,,,Within the location,,,18000,Yes,
5052,5,0,2,2013,August,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,5000,Yes,
5052,5,0,1,2013,July,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,,7050,Yes,
5052,6,0,1,2014,October,Camel,Loaned,,Some are short term and some are long term,Neighbour/friend,3,3,Help others in bad times,,,,,,124000,Yes,
5052,6,0,4,2015,August,Goat/Sheep,Loaned,,Some are short term and some are long term,Neighbour/friend,1,1,Cultural reasons/dowry,,,,,,3000,Yes,
5052,6,0,2,2014,November,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,7500,Yes,
5052,6,0,3,2015,July,Goat/Sheep,Sold,,,,4,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,17500,Yes,
5052,7,,1,2020,December,Sheep,Sold,,,,1,,For regular cash/income,,,,,2500,2500,,1
5052,7,,1,2020,December,Goat,Sold,,,,2,,For regular cash/income,,,,,4000,8000,,1
5052,7,,1,2020,July,Camel,Gave as dowry,,,,1,,Cultural reasons/dowry,,,,,,,,1
5053,1,,1,2009,May,Goat/Sheep,Sold,,,,12,4,For regular cash/income,,,Outside the district,,1800,,,
5053,1,,2,2008,November,Camel,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,15000,,,
5053,2,,2,2010,May,Goat/Sheep,Sold,,,,3,0,Pay debt,,,Within the sub-location,,1500,,,
5053,2,,3,2010,June,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the district,,1800,,,
5053,2,,1,2010,March,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the sub-location,,1000,,,
5053,2,,4,2010,August,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the district,,2100,,,
5053,2,,5,2010,July,Camel,Sold,,,,1,0,Pay debt,,,Within the sub-location,,20000,,,
5053,3,0,2,2010,December,Goat/Sheep,Sold,,,,24,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,24000,Yes,
5053,3,0,1,2010,December,Camel,Sold,,,,2,0,Cultural reasons/dowry,,,Within the location,,,40000,Yes,
5053,4,0,1,2012,April,Camel,Gave as gifts,,,,5,5,Cultural reasons/dowry,,,Within the district,,,200000,Yes,
5053,4,0,2,2012,July,Goat/Sheep,Sold,,,,6,3,For regular cash/income,,,Within the location,,,24000,Yes,
5053,5,0,1,2012,October,Goat/Sheep,Loaned,,,,6,6,Cultural reasons/dowry,,,Within the location,,,12000,Yes,
5053,5,0,2,2013,January,Goat/Sheep,Loaned,,,,6,6,Help others in bad times,,,Within the sub-location,,,18000,Yes,
5053,5,0,5,2013,September,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,,6000,Yes,
5053,5,0,3,2013,May,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the district,,,5000,Yes,
5053,5,0,4,2013,July,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the location,,,6000,Yes,
5053,6,0,1,2014,December,Goat/Sheep,Sold,,,,25,6,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,35000,Yes,
5053,6,0,2,2015,June,Goat/Sheep,Sold,,,,27,11,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,61000,Yes,
5053,6,0,3,2015,July,Goat/Sheep,Gave as gifts,,,,1,0,Help others in bad times,,,,,,3000,Yes,
5053,7,,1,2020,July,Goat,Sold,,,,18,,For regular cash/income,,,,,2500,45000,,2
5053,7,,2,2020,August,Goat,Sold,,,,18,,For regular cash/income,,,,,1472.222168,26500,,2
5053,7,,1,2020,July,Camel,Gave as dowry,,,,3,,Cultural reasons/dowry,,,,,,,,1
5053,7,,2,2019,March,Sheep,Gave as gifts,,,,21,,Help others in bad times,,,,,,,,6
5053,7,,6,2020,December,Sheep,Sold,,,,21,,For regular cash/income,,,,,309.5238037,6500,,6
5053,7,,3,2020,July,Sheep,Sold,,,,21,,For regular cash/income,,,,,690.4761963,14500,,6
5053,7,,1,2019,February,Sheep,Sold,,,,21,,For regular cash/income,,,,,361.9047546,7600,,6
5053,7,,5,2020,December,Sheep,Gave as gifts,,,,21,,Help others in bad times,,,,,,,,6
5053,7,,4,2020,November,Sheep,Gave as gifts,,,,21,,Help others in bad times,,,,,,,,6
5054,1,,1,2009,January,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,1600,,,
5054,2,,1,2010,May,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,1800,,,
5054,2,,3,2010,August,Goat/Sheep,Sold,,,,2,1,Pay debt,,,Outside the district,,2600,,,
5054,2,,4,2010,September,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Outside the district,,2800,,,
5054,2,,2,2010,July,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,2000,,,
5054,5,0,2,2013,March,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,9200,Yes,
5054,5,0,3,2013,August,Goat/Sheep,Sold,,,,2,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,6800,Yes,
5054,5,0,4,2013,September,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,2600,Yes,
5054,5,0,1,2012,November,Goat/Sheep,Sold,,,,4,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,12400,Yes,
5054,6,0,2,2015,February,Goat/Sheep,Sold,,,,4,4,For regular cash/income,,,,A livestock trader within the village,,10000,Yes,
5054,6,0,1,2015,January,Camel,Sold,,,,1,0,For regular cash/income,,,,A livestock trader passing by my village,,20000,Yes,
5054,7,,1,2020,April,Goat,Sold,,,,9,,School fees/sick child/other consumption,,,,,5333.333496,48000,,2
5054,7,,1,2020,April,Sheep,Sold,,,,17,,School fees/sick child/other consumption,,,,,1823.529419,31000,,2
5054,7,,2,2020,December,Goat,Gave as gifts,,,,9,,Cultural reasons/dowry,,,,,,,,2
5054,7,,2,2020,August,Sheep,Gave as gifts,,,,17,,Cultural reasons/dowry,,,,,,,,2
5055,2,,2,2010,April,Goat/Sheep,Gave as gifts,,,,1,0,For regular cash/income,,,Within the location,,1000,,,
5055,2,,3,2010,May,Goat/Sheep,Gave as gifts,,,,1,0,For regular cash/income,,,Within the location,,1000,,,
5055,2,,6,2010,September,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the location,,2400,,,
5055,2,,5,2010,August,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the location,,2000,,,
5055,2,,1,2010,March,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the location,,1500,,,
5055,2,,4,2010,July,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the location,,1400,,,
5055,4,0,1,2012,March,Goat/Sheep,Sold,,,,8,2,For regular cash/income,,,Within the district,,,24000,Yes,
5055,4,0,2,2012,June,Goat/Sheep,Sold,,,,7,0,For regular cash/income,,,Outside the district,,,21000,Yes,
5055,5,0,2,2012,October,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the sub-location,,,10000,Yes,
5055,5,0,1,2013,May,Camel,Loaned,,,,1,1,Help others in bad times,,,Within the sub-location,,,30000,Yes,
5055,7,,1,2020,December,Goat,Gave as gifts,,,,3,,Help others in bad times,,,,,,,,1
5056,2,,1,2010,July,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Outside the district,,3000,,,
5056,2,,2,2010,August,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Outside the district,,2400,,,
5056,3,0,1,2011,August,Goat/Sheep,Gave as gifts,,,,1,0,Other (specify),gift to relatives,,Outside the district,,,2500,Yes,
5056,5,0,1,2013,August,Goat/Sheep,Sold,,,,15,4,For regular cash/income,,,Outside the district,,,38500,Yes,
5057,1,,2,2009,May,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,800,,,
5057,1,,1,2009,January,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,1150,,,
5057,1,,3,2009,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,700,,,
5057,2,,2,2010,June,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Outside the district,,2500,,,
5057,2,,3,2010,July,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Outside the district,,2000,,,
5057,2,,1,2010,June,Camel,Sold,,,,1,0,Pay debt,,,Within the sub-location,,28000,,,
5057,3,0,1,2011,June,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,Within the sub-location,,,5000,Yes,
5057,4,0,1,2011,December,Camel,Sold,,,,3,0,For regular cash/income,,,Within the sub-location,,,64000,Yes,
5057,4,0,2,2012,June,Goat/Sheep,Sold,,,,15,8,For regular cash/income,,,Within the sub-location,,,52000,Yes,
5057,5,0,1,2012,December,Goat/Sheep,Sold,,,,4,2,For regular cash/income,,,Within the sub-location,,,12000,Yes,
5057,5,0,3,2013,June,Goat/Sheep,Sold,,,,10,4,For regular cash/income,,,Within the district,,,30000,Yes,
5057,5,0,4,2013,June,Camel,Loaned,,,,1,0,Help others in bad times,,,Within the location,,,20000,Yes,
5057,5,0,2,2013,April,Goat/Sheep,Sold,,,,3,1,For regular cash/income,,,Within the sub-location,,,12000,Yes,
5057,6,0,3,2015,July,Goat/Sheep,Sold,,,,5,0,For regular cash/income,,,,A livestock trader within the village,,10000,Yes,
5057,6,0,2,2015,April,Goat/Sheep,Sold,,,,3,3,For regular cash/income,,,,A livestock trader passing by my village,,8200,Yes,
5057,6,0,1,2014,December,Goat/Sheep,Sold,,,,2,0,For regular cash/income,,,,A livestock trader passing by my village,,7000,Yes,
5057,7,,1,2020,November,Camel,Gave as dowry,,,,1,,Cultural reasons/dowry,,,,,,,,1
5057,7,,1,2020,September,Goat,Sold,,,,4,,For regular cash/income,,,,,3000,12000,,1
5058,1,,3,2009,September,Goat/Sheep,Sold,,,,5,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,1000,,,
5058,1,,1,2009,May,Goat/Sheep,Sold,,,,10,3,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,1100,,,
5058,1,,2,2009,August,Goat/Sheep,Sold,,,,8,5,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,950,,,
5061,1,,1,2009,February,Camel,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,16000,,,
5061,2,,2,2010,June,Goat/Sheep,Sold,,,,5,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,2350,,,
5061,2,,1,2010,April,Camel,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,21500,,,
5061,3,0,2,.a,.a,Goat/Sheep,Pay debt,,,,3,3,For regular cash/income,,,Within the district,,,13500,Yes,
5061,3,0,1,.a,.a,Goat/Sheep,Gave as gifts,,,,1,1,Cultural reasons/dowry,,,Within the location,,,3000,Yes,
5061,4,0,1,2012,June,Camel,Gave as gifts,,,,3,0,Cultural reasons/dowry,,,Within the location,,,150000,Yes,
5061,4,0,3,2012,May,Goat/Sheep,Loaned,,,,5,2,Help others in bad times,,,Within the sub-location,,,15000,Yes,
5061,4,0,2,2011,December,Goat/Sheep,Sold,,,,6,4,For regular cash/income,,,Within the sub-location,,,18000,Yes,
5061,5,0,3,2013,March,Goat/Sheep,Sold,,,,6,6,For regular cash/income,,,Outside the district,,,15000,Yes,
5061,5,0,1,2012,December,Camel,Loaned,,,,1,1,Help others in bad times,,,Within the location,,,35000,Yes,
5061,5,0,2,2012,November,Goat/Sheep,Sold,,,,3,3,For regular cash/income,,,Within the location,,,9000,Yes,
