hhid,round,comment,offtakeevent,s6q36a,s6q36b,s6q37,s6q38,s6q38b,s6q38c,s6q38d,s6q39,s6q40,s6q41,s6q41b,s6q41b16,s6q42,s6q42_r6,s6q43,s6q43b,s6q43c,s6q43d
1020,2,,1,2010,January,Cattle,Sold,,,,4,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,16000,,,
1020,3,0,1,2011,July,Cattle,Sold,,,,4,4,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,69000,Yes,
1020,3,0,2,2011,April,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,3000,Yes,
1021,1,,1,2009,March,Cattle,Sold,,,,2,0,For regular cash/income,,,Within the district,,12000,,,
1021,6,0,1,2014,December,Cattle,Loaned,,Long term borrowing/lending,Other member of the village,3,1,Spread risks of loss,,,,,,30000,Yes,
1022,7,,1,2020,September,Sheep,Sold,,,,40,,For regular cash/income,,,,,5000,200000,,1
1023,3,0,1,2011,August,Cattle,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,4000,Yes,
1023,5,0,2,2013,June,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the location,,,4000,Yes,
1023,5,0,1,2013,January,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the location,,,4000,Yes,
1024,3,0,1,2011,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,3000,Yes,
1024,4,0,1,2012,April,Cattle,Sold,,,,1,1,For regular cash/income,,,Outside the district,,,19000,Yes,
1024,5,0,1,2012,December,Cattle,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,,32000,Yes,
1024,5,0,2,2013,August,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,,6000,Yes,
1024,6,0,1,2015,January,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,,Large livestock market (e.g Marsabit and Merille),,30000,Yes,
1025,1,,2,2009,September,Cattle,Sold,,,,2,0,Spread risks of loss,,,Within the district,,1000,,,
1025,1,,1,2009,August,Cattle,Sold,,,,5,3,Spread risks of loss,,,Within the district,,2000,,,
1025,3,0,1,2011,April,Goat/Sheep,Sold,,,,3,2,For regular cash/income,,,Within the location,,,6000,Yes,
1025,5,0,1,2013,June,Goat/Sheep,Sold,,,,2,2,For regular cash/income,,,Within the district,,,9500,Yes,
1025,5,0,2,2012,November,Goat/Sheep,Sold,,,,1,1,School fees/sick child/other consumption,,,Within the district,,,6000,Yes,
1025,6,0,1,2015,July,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,6000,Yes,
1025,7,,2,2020,December,Cattle,Sold,,,,4,,Pay debt,,,,,10000,40000,,3
1025,7,,3,2020,November,Cattle,Gave as gifts,,,,4,,Help others in bad times,,,,,,,,3
1025,7,,4,2020,December,Cattle,Gave as gifts,,,,4,,Help others in bad times,,,,,,,,3
1025,7,,1,2020,December,Cattle,Sold,,,,4,,Pay debt,,,,,8750,35000,,3
1026,3,0,1,2011,February,Cattle,Loaned,,,,7,6,Spread risks of loss,,,Outside the district,,,105000,Yes,
1026,7,,1,2020,July,Cattle,Sold,,,,1,,For regular cash/income,,,,,30000,30000,,1
1027,1,,1,2009,August,Cattle,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,8000,,,
1027,2,,1,2010,January,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,20000,,,
1029,1,,1,2009,March,Goat/Sheep,Sold,,,,10,7,Spread risks of loss,,,Outside the district,,1500,,,
1029,3,0,3,2011,September,Goat/Sheep,Sold,,,,10,9,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,36000,Yes,
1029,3,0,2,2011,July,Goat/Sheep,Sold,,,,5,3,For regular cash/income,,,Within the district,,,25000,Yes,
1029,3,0,1,2011,August,Cattle,Sold,,,,1,0,Weak/poor performance,,,Within the sub-location,,,6500,Yes,
1029,5,0,2,2012,November,Cattle,Loaned,,,,2,2,Help others in bad times,,,Outside the district,,,40000,Yes,
1029,5,0,1,2012,November,Goat/Sheep,Loaned,,,,9,3,Help others in bad times,,,Outside the district,,,45000,Yes,
1029,7,,1,2020,December,Goat,Sold,,,,2,,For regular cash/income,,,,,1500,3000,,2
1029,7,,1,2020,June,Cattle,Sold,,,,1,,For regular cash/income,,,,,25000,25000,,1
1029,7,,1,2020,October,Sheep,Sold,,,,3,,For regular cash/income,,,,,3333.333252,10000,,1
1029,7,,2,2020,December,Goat,Sold,,,,2,,For regular cash/income,,,,,2000,4000,,2
1031,1,,1,2008,October,Cattle,Sold,,,,2,0,Weak/poor performance,,,Within the district,,15000,,,
1031,2,,1,2009,October,Cattle,Sold,,,,2,1,School fees/sick child/other consumption,,,Within the district,,20000,,,
1031,2,,2,2010,April,Cattle,Sold,,,,12,1,For regular cash/income,,,Within the district,,20000,,,
1031,3,0,4,2011,August,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the district,,,3000,Yes,
1031,3,0,2,2011,March,Cattle,Sold,,,,3,1,School fees/sick child/other consumption,,,Within the district,,,27000,Yes,
1031,3,0,3,2011,July,Cattle,Pay debt,,,,1,1,Cultural reasons/dowry,,,Within the district,,,11000,Yes,
1031,3,0,1,2010,December,Cattle,Sold,,,,4,2,School fees/sick child/other consumption,,,Within the location,,,40000,Yes,
1031,5,0,2,2013,January,Cattle,Sold,,,,2,1,School fees/sick child/other consumption,,,Within the district,,,45000,Yes,
1031,5,0,1,2012,December,Cattle,Sold,,,,3,1,School fees/sick child/other consumption,,,Within the district,,,66000,Yes,
1031,6,0,2,2015,August,Cattle,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,,Large livestock market (e.g Marsabit and Merille),,50000,Yes,
1031,6,0,1,2015,May,Cattle,Sold,,,,1,0,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,20000,Yes,
1033,3,0,3,2011,January,Goat/Sheep,Sold,,,,17,2,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,34000,Yes,
1033,3,0,2,2011,June,Cattle,Sold,,,,15,7,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,60000,Yes,
1033,3,0,1,2011,May,Camel,Sold,,,,2,0,For regular cash/income,,,Within the location,,,40000,Yes,
1033,4,0,1,2012,January,Goat/Sheep,Sold,,,,3,1,School fees/sick child/other consumption,,,Within the location,,,15000,Yes,
1033,7,,1,2019,March,Goat,Sold,,,,30,,For regular cash/income,,,,,6000,180000,,1
1034,1,,4,2009,July,Cattle,Sold,,,,2,1,Weak/poor performance,,,Within the district,,2000,,,
1034,1,,1,2009,January,Cattle,Sold,,,,4,1,School fees/sick child/other consumption,,,Within the district,,15000,,,
1034,1,,5,2009,August,Cattle,Sold,,,,1,1,Weak/poor performance,,,Within the district,,2000,,,
1034,1,,3,2009,June,Cattle,Sold,,,,1,0,Weak/poor performance,,,Within the district,,2000,,,
1034,1,,2,2009,April,Cattle,Sold,,,,3,1,School fees/sick child/other consumption,,,Within the district,,17000,,,
1034,2,,2,2009,December,Cattle,Gave as gifts,,,,2,2,Cultural reasons/dowry,,,Within the district,,10000,,,
1034,2,,1,2009,December,Cattle,Sold,,,,4,0,School fees/sick child/other consumption,,,Within the district,,15000,,,
1035,5,0,1,2012,November,Goat/Sheep,Loaned,,,,96,48,Other (specify),HELP IN HERDING,,Outside the district,,,500000,Yes,
1036,1,,1,2009,August,Cattle,Sold,,,,1,1,Weak/poor performance,,,Outside the district,,5000,,,
1036,2,,2,2010,August,Cattle,Sold,,,,1,1,For regular cash/income,,,Within the sub-location,,20000,,,
1036,2,,1,2010,February,Cattle,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,20000,,,
1036,5,0,2,2013,February,Cattle,Gave as gifts,,,,3,3,Cultural reasons/dowry,,,Within the sub-location,,,128000,Yes,
1036,5,0,1,2012,October,Camel,Loaned,,,,1,1,Cultural reasons/dowry,,,Within the sub-location,,,50000,Yes,
1036,7,,1,2020,December,Cattle,Sold,,,,1,,For regular cash/income,,,,,50000,50000,,1
1037,1,,1,2009,July,Cattle,Sold,,,,2,2,School fees/sick child/other consumption,,,Outside the district,,9000,,,
1038,2,,1,2010,January,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,19000,,,
1043,1,,1,2009,August,Goat/Sheep,Sold,,,,4,1,Coping with drought (need money to buy food/necessities duing drought),,,Outside the district,,1200,,,
1045,3,0,2,2011,August,Goat/Sheep,Sold,,,,3,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,7500,Yes,
1045,3,0,1,2011,April,Cattle,Sold,,,,4,4,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,,49000,Yes,
1047,1,,2,2009,July,Cattle,Sold,,,,1,0,Spread risks of loss,,,Within the district,,10000,,,
1047,1,,1,2009,February,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,24000,,,
1047,3,0,1,2010,October,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,,10000,Yes,
1047,4,0,1,2012,April,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,Within the district,,,3000,Yes,
2001,1,,1,2009,February,Cattle,Sold,,,,3,0,School fees/sick child/other consumption,,,Within the district,,7000,,,
2001,2,,2,2010,July,Cattle,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,18000,,,
2001,2,,1,2010,April,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,7000,,,
2001,2,,3,2010,August,Cattle,Sold,,,,1,1,School fees/sick child/other consumption,,,Within the district,,22500,,,
2001,3,0,1,2010,December,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,,22000,Yes,
2001,3,0,2,2011,May,Cattle,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,,20000,Yes,
2001,5,0,3,2013,June,Cattle,Sold,,,,1,1,For regular cash/income,,,Within the district,,,18000,Yes,
2001,5,0,1,2012,November,Cattle,Sold,,,,1,1,For regular cash/income,,,Within the district,,,40000,Yes,
2001,5,0,2,2013,February,Cattle,Sold,,,,1,1,For regular cash/income,,,Within the district,,,12000,Yes,
2001,5,0,4,2013,September,Cattle,Sold,,,,1,1,For regular cash/income,,,Within the district,,,16000,Yes,
2001,7,,1,2019,January,Cattle,Sold,,,,3,,Weak/poor performance,,,,,24333.33398,73000,,1
2002,1,,1,2008,October,Goat/Sheep,Sold,,,,3,3,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1700,,,
2002,1,,3,2009,July,Cattle,Sold,,,,4,2,Spread risks of loss,,,Within the location,,3000,,,
2002,1,,2,2009,January,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,2500,,,
2002,1,,4,2009,August,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1200,,,
2002,2,,4,2010,September,Goat/Sheep,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1500,,,
2002,2,,1,2010,May,Goat/Sheep,Sold,,,,1,1,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,3000,,,
2002,2,,2,2010,July,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,1700,,,
2002,2,,3,2010,August,Cattle,Sold,,,,6,6,For regular cash/income,,,Within the district,,9250,,,
2002,3,0,1,2011,September,Goat/Sheep,Sold,,,,13,5,Coping with drought (need money to buy food/necessities duing drought),,,Within the location,,,26000,Yes,
2002,6,0,4,2015,February,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,4000,Yes,
2002,6,0,1,2015,January,Goat/Sheep,Sold,,,,2,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,13000,Yes,
2002,6,0,3,2015,June,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,5000,Yes,
2002,6,0,2,2015,September,Goat/Sheep,Sold,,,,1,1,For regular cash/income,,,,Large livestock market (e.g Marsabit and Merille),,2500,Yes,
2002,7,,1,2020,November,Cattle,Sold,,,,1,,For regular cash/income,,,,,20000,20000,,1
2002,7,,1,2020,December,Goat,Sold,,,,1,,Weak/poor performance,,,,,3000,3000,,1
2003,1,,9,2009,September,Goat/Sheep,Gave as gifts,,,,1,0,School fees/sick child/other consumption,,,Within the location,,1000,,,
2003,1,,2,2009,January,Goat/Sheep,Sold,,,,5,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,2000,,,
2003,1,,3,2009,March,Goat/Sheep,Sold,,,,8,3,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,1800,,,
2003,1,,6,2009,June,Goat/Sheep,Gave as gifts,,,,1,1,Help others in bad times,,,Within the location,,1000,,,
2003,1,,4,2009,April,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,2000,,,
2003,1,,1,2008,November,Goat/Sheep,Sold,,,,7,4,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,1500,,,
2003,1,,8,2009,September,Goat/Sheep,Sold,,,,6,0,Spread risks of loss,,,Outside the district,,3000,,,
2003,1,,5,2009,June,Goat/Sheep,Sold,,,,8,5,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,1500,,,
2003,1,,7,2009,July,Goat/Sheep,Sold,,,,3,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,2000,,,
2003,2,,1,2010,February,Cattle,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,18000,,,
2003,2,,4,2010,August,Goat/Sheep,Sold,,,,1,1,Weak/poor performance,,,Within the sub-location,,2500,,,
2003,2,,2,2010,April,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,2500,,,
2003,2,,3,2010,June,Goat/Sheep,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,3000,,,
2003,2,,5,2010,September,Goat/Sheep,Sold,,,,1,0,Pay debt,,,Within the sub-location,,3200,,,
2003,7,,1,2020,May,Goat,Sold,,,,1,,Weak/poor performance,,,,,2500,2500,,1
2004,2,,1,2010,May,Goat/Sheep,Sold,,,,1,0,For regular cash/income,,,Within the sub-location,,3000,,,
2004,3,0,1,2011,June,Goat/Sheep,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the district,,,2000,Yes,
2004,5,0,1,2012,December,Goat/Sheep,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the sub-location,,,5000,Yes,
2004,5,0,2,2013,April,Goat/Sheep,Sold,,,,1,0,School fees/sick child/other consumption,,,Within the sub-location,,,4500,Yes,
2004,6,0,1,2015,April,Goat/Sheep,Sold,,,,2,2,School fees/sick child/other consumption,,,,A livestock trader within the village,,10000,Yes,
2005,1,,1,2009,June,Cattle,Sold,,,,1,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the district,,18000,,,
2005,2,,2,2010,August,Cattle,Sold,,,,8,0,For regular cash/income,,,Within the sub-location,,11600,,,
2005,2,,1,2010,May,Cattle,Sold,,,,2,0,Coping with drought (need money to buy food/necessities duing drought),,,Within the sub-location,,24250,,,
