hhid,round,comment,s6q49a,s6q49b,s6q50,s6q51,s6q52,s6q52b,s6q52c,s6q52d,s6q52e,slaughterevent
1003,1,,2009,5,Goat/Sheep,1, Household consumption,,,,,1
1006,1,,2009,9,Goat/Sheep,1, Ceremony/guests,,,,,2
1006,1,,2009,7,Goat/Sheep,1, Ceremony/guests,,,,,1
1006,7,,2020,4,Goat,1, Ceremony/guests,,1,,5000,1
1008,7,,2020,9,Goat,1, Ceremony/guests,,1,,8000,1
1009,4,0,2012,4,Goat/Sheep,1, Ceremony/guests,,,,,1
1009,4,0,2012,5,Goat/Sheep,2, Ceremony/guests,,,,,2
1012,7,,2020,6,Sheep,3, Ceremony/guests,,3,,4000,1
1012,7,,2019,2,Sheep,3, Ceremony/guests,,3,,4000,2
1012,7,,2020,6,Sheep,3, Ceremony/guests,,3,,4000,3
1013,3,0,2011,8,Goat/Sheep,1, Ceremony/guests,,,,,1
1018,1,,2009,9,Goat/Sheep,1, Ceremony/guests,,,,,1
1022,7,,2019,1,Goat,1, Ceremony/guests,,1,,6000,1
1023,1,,2009,8, Cattle,2,Other (specify),DEATH OF FAMILY HEAD,,,,1
1024,1,,2009,8,Goat/Sheep,3,Other (specify),DEATH OF OWNER,,,,2
1024,1,,2009,9,Goat/Sheep,1,Other (specify),DEATH OFNEPHEW,,,,3
1024,1,,2009,8, Cattle,2,Other (specify),DEATH OF OWNER,,,,1
1024,6,0,2015,7,Goat/Sheep,1, Ceremony/guests,,,,,1
1025,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,2
1025,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,1
1025,5,0,2013,8,Goat/Sheep,1, Household consumption,,,,,3
1025,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,1
1025,5,0,2013,3,Goat/Sheep,1, Ceremony/guests,,,,,2
1025,6,0,2015,8,Goat/Sheep,1, Ceremony/guests,,,,,1
1025,6,0,2015,2,Goat/Sheep,1, Household consumption,,,,,2
1025,7,,2020,5,Goat,2, Ceremony/guests,,2,,6000,1
1025,7,,2020,11,Goat,2, Ceremony/guests,,2,,3000,2
1029,1,,2009,7,Goat/Sheep,2, Household consumption,,,,,1
1031,3,0,2010,12, Cattle,1, Ceremony/guests,,,,,1
1032,3,0,2011,4,Goat/Sheep,1, Household consumption,,,,,1
1033,3,0,2011,3,Goat/Sheep,2, Ceremony/guests,,,,,1
1033,4,0,2012,1,Goat/Sheep,2, Animals would have died,,,,,1
1033,6,0,2015,4,Goat/Sheep,3, Ceremony/guests,,,,,1
1034,2,,2010,4, Cattle,1, Ceremony/guests,,,,,1
1034,7,,2020,11,Goat,2, Ceremony/guests,,2,,6000,2
1034,7,,2020,6,Goat,2, Ceremony/guests,,2,,5000,1
1035,4,0,2011,12,Goat/Sheep,2, Ceremony/guests,,,,,1
1037,7,,2020,9,Goat,1, Ceremony/guests,,1,,8000,1
1039,1,,2009,3,Goat/Sheep,1, Ceremony/guests,,,,,1
1039,7,,2020,12,Goat,2, Ceremony/guests,,1,,14000,1
1039,7,,2020,12, Cattle,1, Ceremony/guests,,1,,34000,1
1043,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
1043,1,,2009,7,Goat/Sheep,1, Household consumption,,,,,1
1043,3,0,2011,7,Goat/Sheep,1, Animals would have died,,,,,3
1043,3,0,2011,3,Goat/Sheep,2, Ceremony/guests,,,,,2
1043,3,0,2011,1,Goat/Sheep,1, Household consumption,,,,,1
1047,4,0,2012,9,Goat/Sheep,1, Household consumption,,,,,2
1047,4,0,2012,5,Goat/Sheep,1, Ceremony/guests,,,,,1
1047,5,0,2013,4,Goat/Sheep,1, Ceremony/guests,,,,,1
2001,7,,2020,7, Cattle,2, Animals would have died,,1,,54000,1
2002,1,,2008,12,Goat/Sheep,1, Household consumption,,,,,2
2002,1,,2008,11,Goat/Sheep,1, Ceremony/guests,,,,,1
2002,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,3
2002,2,,2010,9,Goat/Sheep,1, Ceremony/guests,,,,,2
2002,2,,2010,5,Goat/Sheep,1, Household consumption,,,,,1
2002,6,0,2015,1,Goat/Sheep,1, Household consumption,,,,,3
2002,6,0,2015,7,Goat/Sheep,1, Ceremony/guests,,,,,2
2002,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2003,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,6
2003,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,4
2003,1,,2009,2,Goat/Sheep,2, Household consumption,,,,,2
2003,1,,2008,12,Goat/Sheep,1, Household consumption,,,,,1
2003,1,,2009,5,Goat/Sheep,2, Household consumption,,,,,3
2003,1,,2009,9,Goat/Sheep,3, Household consumption,,,,,7
2003,1,,2009,7,Goat/Sheep,2, Household consumption,,,,,5
2003,2,,2010,4,Goat/Sheep,1, Ceremony/guests,,,,,1
2003,7,,2020,5,Goat,1, Animals would have died,,1,,2000,1
2005,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
2005,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,1
2005,2,,2010,9,Goat/Sheep,1, Household consumption,,,,,1
2005,3,0,2011,8,Goat/Sheep,2, Ceremony/guests,,,,,2
2005,3,0,2011,6,Goat/Sheep,1, Household consumption,,,,,1
2005,7,,2019,1,Goat,1, Ceremony/guests,,1,,4500,1
2007,5,0,2012,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2009,1,,2009,8, Cattle,1, Ceremony/guests,,,,,1
2009,7,,2020,6,Goat,2, Ceremony/guests,,1,,8000,1
2011,7,,2020,11, Cattle,1, Ceremony/guests,,1,,28000,1
2011,7,,2020,11,Goat,4, Ceremony/guests,,1,,28000,1
2012,4,0,2012,4,Goat/Sheep,1,For sale,,,,,2
2012,4,0,2011,12,Goat/Sheep,1,For sale,,,,,1
2012,4,0,2012,7,Goat/Sheep,1,For sale,,,,,3
2012,5,0,2013,9,Goat/Sheep,1, Household consumption,,,,,1
2016,3,0,2011,7,Goat/Sheep,1, Ceremony/guests,,,,,1
2016,7,,2020,11,Goat,1, Ceremony/guests,,1,,4000,1
2017,1,,2008,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2017,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,2
2017,2,,2010,1,Goat/Sheep,1, Household consumption,,,,,1
2019,7,,2020,10,Goat,2, Ceremony/guests,,2,,6000,1
2019,7,,2020,12,Goat,2, Ceremony/guests,,2,,5000,2
2021,4,0,2012,3,Goat/Sheep,2, Ceremony/guests,,,,,1
2021,7,,2020,12,Goat,1, Household consumption,,1,,5000,1
2022,2,,2010,5,Goat/Sheep,1, Animals would have died,,,,,1
2022,4,0,2012,8,Goat/Sheep,1, Ceremony/guests,,,,,1
2022,5,0,2013,7,Goat/Sheep,3, Ceremony/guests,,,,,2
2022,5,0,2013,3,Goat/Sheep,2, Household consumption,,,,,1
2023,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2024,2,,2010,6, Cattle,1, Ceremony/guests,,,,,1
2025,1,,2009,8,Goat/Sheep,1, Ceremony/guests,,,,,3
2025,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
2025,1,,2009,3,Goat/Sheep,1, Household consumption,,,,,1
2025,2,,2010,5,Goat/Sheep,3, Ceremony/guests,,,,,3
2025,2,,2010,2,Goat/Sheep,1, Household consumption,,,,,1
2025,2,,2010,4,Goat/Sheep,1, Household consumption,,,,,2
2025,4,0,2012,7,Goat/Sheep,1, Animals would have died,,,,,1
2025,5,0,2013,8,Goat/Sheep,1, Ceremony/guests,,,,,2
2025,5,0,2013,2,Goat/Sheep,2, Ceremony/guests,,,,,1
2025,6,0,2015,7,Goat/Sheep,1, Ceremony/guests,,,,,1
2025,7,,2020,11,Goat,1, Household consumption,,1,,4000,1
2025,7,,2020,7,Sheep,1, Household consumption,,1,,4000,1
2026,7,,2020,7,Goat,2, Ceremony/guests,,1,,10000,1
2027,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,2
2027,1,,2009,6,Goat/Sheep,2, Animals would have died,,,,,1
2027,2,,2010,8,Goat/Sheep,1, Ceremony/guests,,,,,1
2027,4,0,2012,6,Goat/Sheep,1, Ceremony/guests,,,,,1
2027,5,0,2013,9,Goat/Sheep,1, Household consumption,,,,,1
2028,7,,2020,8,Goat,3, Ceremony/guests,,3,,5000,2
2028,7,,2020,8, Cattle,2, Ceremony/guests,,1,,80000,1
2028,7,,2019,3,Goat,3, Ceremony/guests,,3,,5000,1
2028,7,,2020,6,Goat,3, Household consumption,,3,,5000,3
2029,4,0,2012,4, Cattle,1, Ceremony/guests,,,,,1
2029,6,0,2015,5, Cattle,1, Ceremony/guests,,,,,1
2030,7,,2019,1,Goat,2, Household consumption,,1,,10000,1
2031,4,0,2012,1,Goat/Sheep,2, Ceremony/guests,,,,,1
2031,4,0,2012,9,Goat/Sheep,1, Household consumption,,,,,2
2031,5,0,2013,1,Goat/Sheep,1, Ceremony/guests,,,,,1
2031,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,2
2031,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2031,6,0,2015,4,Goat/Sheep,1, Ceremony/guests,,,,,2
2031,7,,2020,9,Goat,1, Household consumption,,1,,5000,1
2032,4,0,2011,11,Goat/Sheep,1, Household consumption,,,,,1
2032,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,1
2034,1,,2008,.a,Goat/Sheep,8, Household consumption,,,,,1
2034,2,,2010,5,Goat/Sheep,1, Household consumption,,,,,2
2034,2,,2010,1,Goat/Sheep,1, Household consumption,,,,,1
2034,3,0,2011,3,Goat/Sheep,2, Ceremony/guests,,,,,2
2034,3,0,2011,1,Goat/Sheep,1, Household consumption,,,,,1
2034,3,0,2011,7,Goat/Sheep,1, Ceremony/guests,,,,,3
2034,7,,2020,12, Cattle,2, Ceremony/guests,,1,,30000,2
2034,7,,2020,12, Cattle,2, Ceremony/guests,,1,,30000,1
2035,1,,2009,7, Cattle,1, Ceremony/guests,,,,,1
2035,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2035,7,,2020,12,Goat,3, Ceremony/guests,,3,,5000,3
2035,7,,2020,11,Goat,3, Ceremony/guests,,3,,5000,2
2035,7,,2020,8,Goat,3, Ceremony/guests,,3,,5000,1
2036,3,0,.b,.b,.b,.b,.b,,,,,.b
2036,5,0,2013,3,Goat/Sheep,3, Ceremony/guests,,,,,1
2039,4,0,2012,6,Goat/Sheep,1, Household consumption,,,,,1
2039,5,0,2013,5,Goat/Sheep,1, Household consumption,,,,,1
2039,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,1
2040,2,,2010,8,Goat/Sheep,1, Household consumption,,,,,4
2040,2,,2010,2,Goat/Sheep,1, Household consumption,,,,,1
2040,2,,2010,4,Goat/Sheep,1, Ceremony/guests,,,,,2
2040,2,,2010,5,Goat/Sheep,1, Household consumption,,,,,3
2040,3,0,2011,3,Goat/Sheep,1, Ceremony/guests,,,,,1
2040,4,0,2012,3,Goat/Sheep,4, Ceremony/guests,,,,,1
2040,6,0,2015,4,Goat/Sheep,1, Ceremony/guests,,,,,2
2040,6,0,2014,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2041,5,0,2013,8,Goat/Sheep,1, Household consumption,,,,,1
2043,4,0,2012,7,Goat/Sheep,1, Household consumption,,,,,2
2043,4,0,2012,1,Goat/Sheep,1, Household consumption,,,,,1
2043,5,0,2013,2,Goat/Sheep,1, Household consumption,,,,,1
2043,6,0,2014,12,Goat/Sheep,1, Household consumption,,,,,1
2043,7,,2020,11,Goat,2, Ceremony/guests,,2,,5000,1
2043,7,,2020,8,Goat,2, Ceremony/guests,,2,,5000,2
2045,3,0,2010,11,Goat/Sheep,1, Ceremony/guests,,,,,1
2045,3,0,2011,8,Goat/Sheep,1, Animals would have died,,,,,2
2045,4,0,2012,5,Goat/Sheep,1, Ceremony/guests,,,,,1
2045,5,0,2013,1,Goat/Sheep,2, Animals would have died,,,,,1
2045,7,,2020,9,Goat,1, Ceremony/guests,,1,,6000,1
2048,1,,2009,8, Cattle,1, Animals would have died,,,,,1
2048,4,0,2012,5,Goat/Sheep,1, Animals would have died,,,,,2
2048,4,0,2011,12,Goat/Sheep,4, Ceremony/guests,,,,,1
2048,6,0,2014,12,Goat/Sheep,2, Ceremony/guests,,,,,1
2048,7,,2020,7,Goat,3, Ceremony/guests,,2,,5000,2
2048,7,,2020,4,Goat,3, Ceremony/guests,,2,,5000,1
2049,1,,2009,8,Goat/Sheep,1, Ceremony/guests,,,,,1
2049,2,,2010,4,Goat/Sheep,1, Household consumption,,,,,1
2049,4,0,2012,6,Goat/Sheep,1, Ceremony/guests,,,,,1
2049,4,0,2012,6, Cattle,1, Ceremony/guests,,,,,2
2050,3,0,2010,12,Goat/Sheep,2, Household consumption,,,,,1
2050,3,0,2011,2,Goat/Sheep,1, Animals would have died,,,,,2
2052,3,0,2011,2,Goat/Sheep,1, Household consumption,,,,,1
2052,5,0,2013,8,Goat/Sheep,1, Ceremony/guests,,,,,1
2052,7,,2019,3,Goat,1,Other (specify),Tradition,1,,5000,1
2053,7,,2020,9,Sheep,1, Ceremony/guests,,1,,3000,1
2053,7,,2020,9,Goat,1, Ceremony/guests,,1,,5000,1
2054,2,,2010,3,Goat/Sheep,4, Ceremony/guests,,,,,1
2054,3,0,2010,11,Goat/Sheep,2, Ceremony/guests,,,,,1
2054,4,0,2012,3,Goat/Sheep,2, Animals would have died,,,,,4
2054,4,0,2011,11,Goat/Sheep,4, Household consumption,,,,,1
2054,4,0,2012,2,Goat/Sheep,2, Household consumption,,,,,3
2054,4,0,2011,12,Goat/Sheep,3, Ceremony/guests,,,,,2
2054,5,0,2013,3,Goat/Sheep,1, Household consumption,,,,,1
2054,5,0,2013,7,Goat/Sheep,1, Household consumption,,,,,3
2054,5,0,2013,5,Goat/Sheep,1, Household consumption,,,,,2
2054,6,0,2015,8,Goat/Sheep,4,For sale,,,,,2
2054,6,0,2015,4,Goat/Sheep,3,For sale,,,,,1
2054,7,,2020,4,Goat,1, Ceremony/guests,,1,,3000,1
2056,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,1
2057,3,0,2011,8,Goat/Sheep,3, Ceremony/guests,,,,,1
2059,3,0,2010,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2059,3,0,2011,1,Goat/Sheep,1,For sale,,,,,2
2059,4,0,2012,3,Goat/Sheep,2, Ceremony/guests,,,,,3
2059,4,0,2011,11,Goat/Sheep,1, Ceremony/guests,,,,,1
2059,4,0,2011,12,Goat/Sheep,2, Ceremony/guests,,,,,2
2059,6,0,2014,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2061,5,0,2013,3,Goat/Sheep,2, Ceremony/guests,,,,,1
2064,1,,2009,5,Goat/Sheep,2, Ceremony/guests,,,,,1
2065,6,0,2015,3, Cattle,1, Ceremony/guests,,,,,1
2065,6,0,2015,5, Cattle,1,For sale,,,,,3
2065,6,0,2015,3,Goat/Sheep,1, Ceremony/guests,,,,,2
2067,2,,2010,9,Goat/Sheep,3, Ceremony/guests,,,,,2
2067,2,,2010,8,Goat/Sheep,1, Household consumption,,,,,1
2068,1,,2009,7,Goat/Sheep,1, Household consumption,,,,,1
2068,2,,2010,8,Goat/Sheep,1, Household consumption,,,,,1
2068,5,0,2013,5,Goat/Sheep,1, Household consumption,,,,,1
2070,1,,2009,8,Goat/Sheep,1,Other (specify),Illness recovery,,,,1
2070,5,0,2012,11,Goat/Sheep,2, Ceremony/guests,,,,,1
2070,5,0,2013,8,Goat/Sheep,1, Household consumption,,,,,2
2072,4,0,2011,10,Goat/Sheep,1, Animals would have died,,,,,1
2072,5,0,2013,2,Goat/Sheep,2, Ceremony/guests,,,,,1
2074,7,,2020,7,Goat,1, Household consumption,,1,,7000,1
2076,6,0,2015,6,Goat/Sheep,1, Ceremony/guests,,,,,2
2076,6,0,2015,4, Cattle,3, Ceremony/guests,,,,,1
2076,7,,2020,9, Cattle,1, Ceremony/guests,,1,,35000,1
2077,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2077,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,1
2078,2,,2010,4,Goat/Sheep,1, Household consumption,,,,,1
2078,3,0,2011,4,Goat/Sheep,1, Household consumption,,,,,1
2078,3,0,2011,6,Goat/Sheep,1, Ceremony/guests,,,,,2
2078,4,0,2011,11,Goat/Sheep,2, Household consumption,,,,,1
2078,5,0,2013,7,Goat/Sheep,1, Household consumption,,,,,1
2078,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,3
2078,6,0,2015,1,Goat/Sheep,1, Ceremony/guests,,,,,2
2078,6,0,2014,10,Goat/Sheep,2, Household consumption,,,,,1
2079,3,0,.a,.a,Goat/Sheep,1, Ceremony/guests,,,,,1
2079,6,0,2015,7,Goat/Sheep,1, Household consumption,,,,,1
2079,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,2
2080,1,,2009,9,Goat/Sheep,1, Animals would have died,,,,,1
2080,5,0,2013,9,Goat/Sheep,1, Household consumption,,,,,1
2081,6,0,2014,10,Goat/Sheep,1, Ceremony/guests,,,,,1
2081,6,0,2015,1,Goat/Sheep,1, Ceremony/guests,,,,,2
2082,1,,2009,6,Goat/Sheep,1, Ceremony/guests,,,,,1
2082,7,,2020,11, Cattle,1, Ceremony/guests,,1,,30000,1
2083,1,,2008,12,Goat/Sheep,1, Ceremony/guests,,,,,1
2083,3,0,2011,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2083,5,0,2013,9,Goat/Sheep,2, Ceremony/guests,,,,,1
2083,6,0,2015,3,Goat/Sheep,1, Ceremony/guests,,,,,2
2083,6,0,2015,1,Goat/Sheep,2, Household consumption,,,,,1
2084,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,1
2084,3,0,2011,4,Goat/Sheep,1, Household consumption,,,,,1
2086,6,0,2015,4, Cattle,1, Ceremony/guests,,,,,1
2088,5,0,2013,4,Goat/Sheep,3, Ceremony/guests,,,,,1
2089,1,,2009,4,Goat/Sheep,1, Household consumption,,,,,1
2089,1,,2009,7,Goat/Sheep,1, Household consumption,,,,,2
2089,2,,2010,8, Cattle,1, Ceremony/guests,,,,,1
2090,1,,2009,7,Goat/Sheep,1, Household consumption,,,,,2
2090,1,,2009,6,Goat/Sheep,1, Household consumption,,,,,1
2090,2,,2010,8, Cattle,1, Ceremony/guests,,,,,1
2090,2,,2010,8,Goat/Sheep,3, Ceremony/guests,,,,,2
2090,7,,2020,5,Goat,2, Household consumption,,2,,5000,1
2090,7,,2020,8,Goat,2, Household consumption,,2,,5000,2
2090,7,,2020,8, Cattle,1, Ceremony/guests,,1,,40000,1
2091,1,,2009,8,Goat/Sheep,2, Ceremony/guests,,,,,1
2091,2,,2010,4,Goat/Sheep,1, Household consumption,,,,,1
2091,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2091,7,,2020,11, Cattle,2, Ceremony/guests,,1,,30000,1
2091,7,,2020,11,Goat,3, Ceremony/guests,,1,,20000,1
2092,4,0,2012,7,Goat/Sheep,1, Ceremony/guests,,,,,2
2092,4,0,2011,11,Goat/Sheep,1, Household consumption,,,,,1
2093,1,,2009,7,Goat/Sheep,1, Ceremony/guests,,,,,1
2094,1,,2009,9,Goat/Sheep,1, Household consumption,,,,,1
2094,5,0,2013,3,Goat/Sheep,1, Ceremony/guests,,,,,1
2094,6,0,2015,9,Goat/Sheep,1, Ceremony/guests,,,,,1
2094,7,,2020,9,Goat,1, Ceremony/guests,,1,,3000,1
2095,6,0,2015,1,Goat/Sheep,2, Ceremony/guests,,,,,2
2095,6,0,2015,3,Goat/Sheep,2, Ceremony/guests,,,,,3
2095,6,0,2014,10,Goat/Sheep,1, Household consumption,,,,,1
2096,2,,2010,8,Goat/Sheep,1, Household consumption,,,,,1
2096,6,0,2015,2,Goat/Sheep,1, Household consumption,,,,,1
2096,7,,2020,9,Goat,2, Household consumption,,2,,3000,2
2096,7,,2020,6,Goat,2, Ceremony/guests,,2,,3000,1
2097,2,,2010,7,Goat/Sheep,1, Ceremony/guests,,,,,1
2098,7,,2020,12,Goat,2, Animals would have died,,2,,4000,2
2098,7,,2019,2,Goat,2, Ceremony/guests,,2,,5000,1
2100,7,,2020,9,Goat,1, Ceremony/guests,,1,,6000,1
2102,6,0,2015,3,Goat/Sheep,1, Household consumption,,,,,2
2102,6,0,2015,2,Goat/Sheep,2, Ceremony/guests,,,,,1
2112,5,0,2013,8,Goat/Sheep,1, Household consumption,,,,,1
2126,6,0,2014,12,Goat/Sheep,2, Ceremony/guests,,,,,1
2126,7,,2020,10,Goat,1, Household consumption,,1,,7000,1
3003,7,,2019,3,Goat,1, Household consumption,,1,,3500,1
3007,6,0,2015,9,Goat/Sheep,2, Ceremony/guests,,,,,1
3010,7,,2020,7,Goat,2, Ceremony/guests,,1,,10000,1
3013,3,0,2011,6,Goat/Sheep,1,Other (specify),CULTURAL REASON,,,,1
3015,4,0,2012,8,Goat/Sheep,2, Ceremony/guests,,,,,1
3016,3,0,2010,12,Goat/Sheep,1, Household consumption,,,,,1
3016,7,,2020,9,Goat,3, Ceremony/guests,,1,,15000,1
3016,7,,2020,9, Cattle,3,Other (specify),Burial Ceremony event,1,,90000,1
3020,4,0,2011,11,Goat/Sheep,1,Other (specify),BURIAL CEREMONY,,,,1
3021,7,,2020,4,Goat,1, Ceremony/guests,,1,,5000,1
3022,5,0,2013,7,Goat/Sheep,1, Household consumption,,,,,1
3023,4,0,2012,6,Goat/Sheep,1, Household consumption,,,,,3
3023,4,0,2012,2,Goat/Sheep,2, Ceremony/guests,,,,,2
3023,4,0,2012,7, Cattle,1, Ceremony/guests,,,,,1
3023,4,0,2012,9,Goat/Sheep,2, Ceremony/guests,,,,,4
3023,5,0,2013,8,Goat/Sheep,2, Ceremony/guests,,,,,2
3023,5,0,2013,6,Goat/Sheep,1, Household consumption,,,,,1
3023,6,0,2015,9, Cattle,1, Ceremony/guests,,,,,1
3023,6,0,2015,9,Goat/Sheep,8, Ceremony/guests,,,,,2
3023,6,0,2015,9,Goat/Sheep,2, Household consumption,,,,,3
3023,7,,2020,8,Goat,18, Ceremony/guests,,1,,72000,1
3023,7,,2020,8, Cattle,6, Ceremony/guests,,1,,180000,1
3024,7,,2020,11,Goat,1, Ceremony/guests,,1,,5000,1
3027,3,0,2011,8,Goat/Sheep,1,Other (specify),COMPLICATION DURING BIRTH,,,,1
3028,5,0,2013,5,Goat/Sheep,1, Ceremony/guests,,,,,1
3028,6,0,2015,1,Goat/Sheep,1, Household consumption,,,,,1
3028,6,0,2015,8,Goat/Sheep,1, Household consumption,,,,,2
3028,7,,2020,10,Goat,2, Ceremony/guests,,2,,5000,2
3028,7,,2019,2,Goat,2, Ceremony/guests,,2,,5000,1
3029,1,,2009,8,Goat/Sheep,1, Ceremony/guests,,,,,2
3029,1,,2009,1,Goat/Sheep,1, Ceremony/guests,,,,,1
3034,5,0,2013,2,Goat/Sheep,1, Ceremony/guests,,,,,1
3035,4,0,2011,10,Goat/Sheep,1, Ceremony/guests,,,,,1
3035,5,0,2013,9,Goat/Sheep,1, Ceremony/guests,,,,,1
3035,7,,2020,11,Goat,1, Ceremony/guests,,1,,6000,1
4001,7,,2020,6,Goat,10, Household consumption,,10,,3000,6
4001,7,,2019,3,Goat,10, Household consumption,,10,,3000,1
4001,7,,2020,4,Goat,10, Household consumption,,10,,3000,3
4001,7,,2020,5,Goat,10, Household consumption,,10,,3000,4
4001,7,,2020,7,Goat,10, Household consumption,,10,,3000,8
4001,7,,2020,4,Goat,10, Household consumption,,10,,3000,2
4001,7,,2020,6,Goat,10, Household consumption,,10,,3000,5
4001,7,,2020,8,Goat,10, Household consumption,,10,,3000,9
4001,7,,2020,9,Goat,10, Household consumption,,10,,3000,10
4001,7,,2020,7,Goat,10, Household consumption,,10,,3000,7
4002,1,,2009,4,Goat/Sheep,1, Household consumption,,,,,1
4002,2,,2009,12,Goat/Sheep,1, Ceremony/guests,,,,,1
4002,2,,2010,4,Goat/Sheep,1, Ceremony/guests,,,,,2
4004,1,,2009,9,Goat/Sheep,48, Animals would have died,,,,,3
4004,1,,2009,8,Goat/Sheep,1,For sale,,,,,2
4004,1,,2009,6,Goat/Sheep,1,For sale,,,,,1
4004,2,,2010,8,Goat/Sheep,2, Household consumption,,,,,1
4004,5,0,2013,8,Goat/Sheep,2,For sale,,,,,2
4004,5,0,2013,6,Goat/Sheep,1, Household consumption,,,,,1
4004,6,0,2014,12,Goat/Sheep,2, Ceremony/guests,,,,,1
4004,6,0,2015,2,Goat/Sheep,1, Household consumption,,,,,2
4004,6,0,2015,4,Goat/Sheep,2, Household consumption,,,,,4
4004,6,0,2015,9,Goat/Sheep,1, Household consumption,,,,,8
4004,6,0,2015,6,Goat/Sheep,4, Ceremony/guests,,,,,5
4004,6,0,2015,3,Goat/Sheep,1, Household consumption,,,,,3
4004,6,0,2015,8,Goat/Sheep,2, Household consumption,,,,,7
4004,6,0,2015,7,Goat/Sheep,1, Household consumption,,,,,6
4004,7,,2020,8,Sheep,2, Household consumption,,2,,3000,1
4004,7,,2020,5,Goat,1, Household consumption,,1,,2500,1
4004,7,,2020,11,Sheep,2, Household consumption,,2,,3000,2
4005,1,,2009,10,Goat/Sheep,1, Household consumption,,,,,3
4005,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,1
4005,1,,2009,2,Goat/Sheep,1, Household consumption,,,,,2
4005,2,,2010,2,Goat/Sheep,3, Household consumption,,,,,1
4005,3,0,.a,.a,Goat/Sheep,1, Household consumption,,,,,1
4005,4,0,2012,7,Goat/Sheep,1, Household consumption,,,,,1
4005,6,0,2015,8,Goat/Sheep,1, Ceremony/guests,,,,,3
4005,6,0,2015,6,Goat/Sheep,2, Ceremony/guests,,,,,2
4005,6,0,2015,1,Goat/Sheep,1, Household consumption,,,,,1
4005,7,,2020,12,Sheep,4, Household consumption,,4,,4000,3
4005,7,,2020,10,Goat,4, Household consumption,,4,,4000,1
4005,7,,2020,12,Goat,4, Household consumption,,4,,5000,4
4005,7,,2020,11,Sheep,4, Household consumption,,4,,4000,2
4005,7,,2020,11,Goat,4, Household consumption,,4,,5000,2
4005,7,,2020,12,Sheep,4, Household consumption,,4,,4000,4
4005,7,,2020,10,Sheep,4, Household consumption,,4,,4000,1
4005,7,,2020,12,Goat,4, Household consumption,,4,,5000,3
4006,2,,2010,7,Goat/Sheep,1, Household consumption,,,,,1
4007,5,0,2013,8,Goat/Sheep,1, Household consumption,,,,,1
4007,6,0,2015,8,Goat/Sheep,1,For sale,,,,,3
4007,6,0,2015,4,Goat/Sheep,2,For sale,,,,,2
4007,6,0,2015,6,Goat/Sheep,1, Ceremony/guests,,,,,4
4007,6,0,2014,12,Goat/Sheep,2,For sale,,,,,1
4007,7,,2019,3,Goat,6, Ceremony/guests,,1,,18000,1
4010,1,,2009,8,Goat/Sheep,1, Household consumption,,,,,1
4010,2,,2010,9,Goat/Sheep,1, Household consumption,,,,,2
4010,2,,2010,8,Goat/Sheep,1, Household consumption,,,,,1
4010,2,,2010,6,Goat/Sheep,1, Household consumption,,,,,3
4010,2,,2010,3,Goat/Sheep,1, Household consumption,,,,,4
4010,4,0,2012,7,Goat/Sheep,2, Ceremony/guests,,,,,1
4010,5,0,2013,5,Goat/Sheep,1, Ceremony/guests,,,,,1
4010,5,0,2013,9,Goat/Sheep,1, Household consumption,,,,,2
4010,6,0,2015,6,Goat/Sheep,1, Ceremony/guests,,,,,2
4010,6,0,2014,11,Goat/Sheep,2, Household consumption,,,,,1
4010,6,0,2015,9,Goat/Sheep,1, Household consumption,,,,,4
