hhid,round,conflict_yn,conflict_why_1,conflict_why_2,conflict_why_3,conflict_why_4,conflict_why_5,conflict_why_6,conflict_why_7,conflict_why_97,conflict_why_other,conflict_impact_yn,conflict_impact_how_1,conflict_impact_how_2,conflict_impact_how_3,conflict_impact_how_4,conflict_impact_how_5,conflict_impact_how_6,conflict_impact_how_7,conflict_impact_how_8,conflict_impact_how_9,conflict_impact_how_10,conflict_impact_how_97,conflict_impact_how_other,conflict_community_impact_1,conflict_community_impact_2,conflict_community_impact_3,conflict_community_impact_4,conflict_community_impact_5,conflict_community_impact_6,conflict_community_impact_97,conflict_community_impact_other
2018,7,Yes,Yes,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,No,
2019,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,No,No,
2020,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,
2021,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,No,
2022,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
2023,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Children's safety,Yes,Yes,No,No,No,No,No,
2024,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,7,Yes,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2026,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2027,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,No,
2028,7,Yes,No,No,No,No,Yes,No,No,Yes,Politics,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2029,7,Yes,No,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,
2030,7,Yes,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,No,
2031,7,Yes,Yes,No,No,No,Yes,No,No,No,,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,
2032,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
