hhid,round,comment,s14q1,s14q2,s14q2b,s14q2a,s14q4a,s14q4b,s14q3,s14q3_a,s14q3_b,s14q5,s14q6,s14q6b,s14q7,s14q8,s14q9,s14q10,s14q11,s14q51,s14q52,s14q52b,s14q24,s14q25,s14q28,s14q53,s14q54,s14q83,s14q55,s14q56,s14q56b,s14q57,s14q57b,s14q51_a,s14q51_b,s14q51_c,s14q51_d,s14q51_e,s14q51_f,s14q73,s14q71,s14q72,s14q18a,s14q18a2,s14q18b,s14q19a,s14q19a2,s14q19b,s14q20a,s14q20a2,s14q20b,s14q21a,s14q21a2,s14q21b,s14q5_r1,s14q6_r1,s14q6b_r1,s14q7_r1,s14q8_r1,s14q9_r1,s14q9b_r1,s14q10_r1,s14q10b_r1,s14q11_r1,s14q12,s14q13,s14q13b,s14q14,s14q15,s14q16,s14q16b,s14q17,s14q58_r23,s14q58a_r23,s14q58b_r23,s14q58,s14q58a,s14q58b,s14q59,s14q59b,s14q59c,s14q5_r7,s14q8_r7,debt_3,debt_4,debt_5,debt_6,debt_5_support_yn,debt_5_support_who,debt_7,debt_8,debt_9,debt_10
1002,1,,Yes,Bank,,,,,40000,,,,,,,,,,,Yes,,,3,5000,1500,,,,,Private (family/friend etc.),,Food,,,,,,,,,,,Bank,,Very easy (always get it),Bank,,Very easy (always get it),MFI/FSA,,O.K. (3 out of 6 chances),Bank,,Quite difficult (2 out of 6 chances),2,Prefer not to owe money,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,2,,Yes,Bank,,Equity,,,900,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1002,3,0,Yes,Bank,,EQUITY BANK,,,6500,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Trader,,Quite difficult (2 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Informal saving scheme (e.g. merry go round),,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1002,4,0,Yes,Bank,,equuitybank marsabit,,,20000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,No one would lend,,,,,,,,,,,,,
1002,5,0,Yes,Bank,,EQUITY BANK,,,40000,,,No,,,,,,,,Yes,,,,,,2,3500,0,3500,Private (family/friend etc.),,Education costs,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
1002,6,0,Yes,Bank,,Equity Bank,,,50000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1002,7,,Yes,Bank,,,,,.a,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4000,Yes,3000,No,,,,No,,No,
1003,1,,Yes,At home,,,Other (specify),EASY TRANSFER,10000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Trader,,Quite easy (4 out of 6 chances),Bank,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),2,Prefer not to owe money,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1003,3,0,Yes,At home,,,Cash saving is not large enough,,3000,,,,,,,,,,,Yes,,,,,,1,3000,4,3400,Other (specify),NO.MORE LOAN,Other (specify),NO MORE LOAN,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1003,4,0,Yes,Bank,,EQUITY BANK,,,22650,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
1003,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
1003,6,0,Yes,Bank,,Equity Bank,,,25000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1003,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1004,1,,Yes,SACCO / Cooperative,,,,,500000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),2,Don't need it,,,,,,,,,Yes,,,2,10000,Household asset,,0,,,,,,,,,,,,,,,,,,,,,
1004,2,,Yes,Bank,,KCB,,,70000,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,,,,Bank,,O.K. (3 out of 6 chances),Bank,,O.K. (3 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1004,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1004,4,0,Yes,Bank,,EQUITY BANK,,,70000,,,No,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1004,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
1004,6,0,Yes,Bank,,Equity Bank,,,150000,,,,,,,,,,,Yes,,,,,,4,6000,0,4000,Private (family/friend etc.),,Education costs,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1004,7,,Yes,At home,,,,,.b,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1005,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Trader,,Impossible,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Informal saving scheme (e.g. merry go round),,O.K. (3 out of 6 chances),2,Prefer not to owe money,,,,,,,,,Yes,,,4,18000,Household asset,,800,,,,,,,,,,,,,,,,,,,,,
1005,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1005,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
1005,4,0,Yes,At home,,,Cash saving is not large enough,,5000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
1005,5,0,Yes,Other Informal saving scheme (e.g. merry go rounds),,,Other (specify),BANK CHARGES TRANSACTION FEE/ IT IS FAR FROM HOME AND I CANT ACCESS IT ANYTIME I WISH,4000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
1005,6,0,Yes,At home,,,Cash saving is not large enough,,5000,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
1005,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,3000,No,,,,No,,No,
1006,1,,No,,,,,,,,,,,,,,,,,Yes,,,2,8000,6000,,,,,Private (family/friend etc.),,Production/ investment/ operating costs,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,Very easy (always get it),Private (family/friend etc.),,O.K. (3 out of 6 chances),Bank,,Impossible,1,,,1,10000,Private (family/friend etc),,Production/ investment/ operating costs,,0,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,2,,Yes,Bank,,,,,20000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1006,3,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Bank,,Very easy (always get it),Bank,,Very easy (always get it),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1006,4,1,Yes,With a trader or shop,,,More costly than other choices,,300000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
1006,5,0,Yes,With a trader or shop,,,Do not trust bank/saving association,,90000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Dont need it,,,,,,,,,,,,,
1006,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
1006,7,,Yes,At home,,,,,20000,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1007,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,O.K. (3 out of 6 chances),2,Prefer not to owe money,,,,,,,,,Yes,,,2,3000,Household asset,,2000,,,,,,,,,,,,,,,,,,,,,
1007,2,,Yes,At home,,,Cash saving is not large enough,,7000,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1007,3,0,Yes,At home,,,Cash saving is not large enough,,2000,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Bank,,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1007,4,0,Yes,At home,,,Do not trust bank/saving association,,10000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1007,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
1007,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
1007,7,,Yes,Bank,,,,,.b,I don't know,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1008,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),2,No-one would lend: not credit worthy,,,,,,,,,Yes,,,1,150,Food,,0,,,,,,,,,,,,,,,,,,,,,
1008,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1008,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Bank,,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1008,4,0,Yes,At home,,,More costly than other choices,,2000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
1008,5,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1008,6,0,Yes,At home,,,Cash saving is not large enough,,20000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1008,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1009,1,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Bank,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Bank,,Very difficult (1 out of 6 chances),1,,,4,4000,Private (family/friend etc),,Food,,0,Yes,,,1,3000,Household asset,,3000,,,,,,,,,,,,,,,,,,,,,
1009,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1009,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Bank,,Quite difficult (2 out of 6 chances),Bank,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1009,4,0,Yes,At home,,,Cash saving is not large enough,,1000,,,No,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
1009,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,Don't know,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1009,6,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,No,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1009,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1010,1,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),SACCO/ Cooperatives,,Quite easy (4 out of 6 chances),SACCO/ Cooperatives,,Quite difficult (2 out of 6 chances),2,Prefer not to owe money,,,,,,,,,Yes,,,3,4000,Household asset,,3500,,,,,,,,,,,,,,,,,,,,,
1010,2,,Yes,Bank,,,,,50000,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,,,,Bank,,O.K. (3 out of 6 chances),Bank,,O.K. (3 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1010,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Bank,,Quite easy (4 out of 6 chances),Bank,,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
1010,4,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,Prefer not to owe credit,,,,,,,,,,,,,
1010,5,0,Yes,Bank,,EQUITY BANK,,,20000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
1010,6,0,Yes,Bank,,Equity Bank,,,200000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,No,Dont need it,,,,,,,,,,,,,
1010,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,4000,No,,,,No,,No,
1011,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),2,Don't need it,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,2,,Yes,Bank,,Equity,,,15000,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
1011,3,0,Yes,Bank,,KCB BANK,,,200000,,,,,,,,,,,Yes,,,,,,1,10000,0,0,Private (family/friend etc.),,Production/ investment/ operating costs,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Bank,,Very easy (always get it),Bank,,Very easy (always get it),Trader,,Quite easy (4 out of 6 chances),Trader,,Quite easy (4 out of 6 chances),,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,,,,,,,,,,,,,,,,,,
1011,4,0,Yes,At home,,,Cash saving is not large enough,,2000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1011,5,0,Yes,Bank,,EQUITY BANK,,,150000,,,No,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,No,Prefer not to owe credit,,,,,,,,,,,,,
1011,6,0,Yes,Bank,,Equity Bank,,,250000,,,,,,,,,,,No,Was asked but prefer not to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,No,Dont need it,,,,,,,,,,,,,
1011,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,,,No,,No,
1012,1,,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite difficult (2 out of 6 chances),Private (family/friend etc.),,Impossible,Private (family/friend etc.),,Impossible,Private (family/friend etc.),,Impossible,2,No-one would lend: not credit worthy,,,,,,,,,No,No-one would lend: no-one has money,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,,,,,,,,,,,,,,,,,,
1012,3,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,Don't know,pay back Ksh 600 in a month,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
