hhid,round,comment,s14q1,s14q2,s14q2b,s14q2a,s14q4a,s14q4b,s14q3,s14q3_a,s14q3_b,s14q5,s14q6,s14q6b,s14q7,s14q8,s14q9,s14q10,s14q11,s14q51,s14q52,s14q52b,s14q24,s14q25,s14q28,s14q53,s14q54,s14q83,s14q55,s14q56,s14q56b,s14q57,s14q57b,s14q51_a,s14q51_b,s14q51_c,s14q51_d,s14q51_e,s14q51_f,s14q73,s14q71,s14q72,s14q18a,s14q18a2,s14q18b,s14q19a,s14q19a2,s14q19b,s14q20a,s14q20a2,s14q20b,s14q21a,s14q21a2,s14q21b,s14q5_r1,s14q6_r1,s14q6b_r1,s14q7_r1,s14q8_r1,s14q9_r1,s14q9b_r1,s14q10_r1,s14q10b_r1,s14q11_r1,s14q12,s14q13,s14q13b,s14q14,s14q15,s14q16,s14q16b,s14q17,s14q58_r23,s14q58a_r23,s14q58b_r23,s14q58,s14q58a,s14q58b,s14q59,s14q59b,s14q59c,s14q5_r7,s14q8_r7,debt_3,debt_4,debt_5,debt_6,debt_5_support_yn,debt_5_support_who,debt_7,debt_8,debt_9,debt_10
9074,6,0,No,,,,,,,,,,,,,,,,,Yes,,,,,,3,1800,1800,0,Private (family/friend etc.),,Food,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
9074,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2000,Yes,3000,Yes,2000,Yes,BOMA,No,,No,
9075,1,,Yes,At home,,,More costly than other choices,,0,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Money lender,,Quite difficult (2 out of 6 chances),Religious organization,,Impossible,MFI/FSA,,Very difficult (1 out of 6 chances),1,,,1,1000,Private (family/friend etc),,Food,,1000,Yes,,,4,700,Food,,700,,,,,,,,,,,,,,,,,,,,,
9075,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Money lender,,Very difficult (1 out of 6 chances),Money lender,,Impossible,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
9075,3,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Money lender,,Impossible,Money lender,,Impossible,Trader,,Very difficult (1 out of 6 chances),Private (family/friend etc.),,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
9075,4,0,Yes,At home,,,Cash saving is not large enough,,2000,,,No,,,,,,,,Yes,,,,,,2,5000,600,5000,Private (family/friend etc.),,Health costs,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,
9075,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,Yes,,,,,,,,,,,,,,
9075,6,0,Yes,At home,,,Lack of information about availability and operations of banking insitutions,,1200,,,,,,,,,,,Yes,,,,,,1,1000,1200,1200,Private (family/friend etc.),,Food,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Don't need it,,Yes,,,,,,,,,,,,,,
9075,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Friends/family,5000,Yes,Friends/family,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5000,Yes,2500,Yes,9000,No,,No,,No,
9076,1,,Yes,At home,,,More costly than other choices,,1000,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Money lender,,Very difficult (1 out of 6 chances),MFI/FSA,,Impossible,MFI/FSA,,Very difficult (1 out of 6 chances),2,Don't need it,,,,,,,,,Yes,,,16,15000,Food,,15000,,,,,,,,,,,,,,,,,,,,,
9076,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Trader,,O.K. (3 out of 6 chances),Private (family/friend etc.),,O.K. (3 out of 6 chances),Religious organization,,Quite difficult (2 out of 6 chances),,,,,,,,,,,,,,,,,,,No,Prefer not to owe money,,,,,,,,,,,,,,,,,,,
9076,3,0,No,,,,,,,,,,,,,,,,,Yes,,,,,,2,500,0,500,Private (family/friend etc.),,Other (specify),paid for transport.,,,,,,,No,exactly Ksh 1100,pay back Ksh 500 plus 15% interest in a month,Private (family/friend etc.),,Very difficult (1 out of 6 chances),Trader,,Very difficult (1 out of 6 chances),Informal saving scheme (e.g. merry go round),,Quite difficult (2 out of 6 chances),Money lender,,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
9076,4,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,exactly Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,Yes,,,,,,,,,,,,,,
9076,5,0,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,No,Don't know,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No-one would lend: this household is not credit worthy,,Yes,,,,,,,,,,,,,,
9076,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Community members,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1000,Yes,5600,No,,,,No,,No,
9077,1,,No,,,,,,,,,,,,,,,,,Yes,,,2,700,200,,,,,Private (family/friend etc.),,Food,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),MFI/FSA,,Very difficult (1 out of 6 chances),Trader,,Impossible,MFI/FSA,,Very difficult (1 out of 6 chances),2,Don't need it,,,,,,,,,Yes,,,1,500,Food,,100,,,,,,,,,,,,,,,,,,,,,
9077,2,,No,,,,,,,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,,,,Private (family/friend etc.),,O.K. (3 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Money lender,,Very difficult (1 out of 6 chances),Money lender,,Impossible,,,,,,,,,,,,,,,,,,,No,Don't need it,,,,,,,,,,,,,,,,,,,
9077,3,0,Yes,At home,,,No bank/saving association in the location,,2000,,,,,,,,,,,No,Was asked but don't have money to lend,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,Private (family/friend etc.),,Quite easy (4 out of 6 chances),Money lender,,O.K. (3 out of 6 chances),Trader,,Quite difficult (2 out of 6 chances),Bank,,Very difficult (1 out of 6 chances),,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,
9077,4,0,No,,,,,,,,,,,,,,,,,No,No one asked to borrow,,,,,,,,,,,,,,,,,,,Yes,more than Ksh 1100,pay back Ksh 600 in a month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Other (specify),there are no institution to borrow money,Yes,,,,,,,,,,,,,,
