hhid,round,comment,Loan_ID,s14q60a,s14q60,s14q60b,s14q61,s14q61b,s14q61c,s14q79,s14q81,s14q81b,s14q82,s14q62,s14q62_r2,s14q66,s14q65c,s14q66a,s14q66_r23,s14q64,s14q65a,s14q65b,s14q67,s14q68a,s14q68b,s14q69,s14q70,s14q70b,s14q92,s14q92b,s14q93,s14q94,s14q80,s14q91
4015,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4015,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4019,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4019,2,,11,,,,Food,,Yes,,,,,,9,5000,,,5000,No,,,No,,,5000,,,,,,,,
4019,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4019,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4019,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4019,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4019,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4020,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4020,2,,11,,,,Food,,Yes,,,,,,6,4000,,,4000,No,,,No,,,4000,,,,,,,,
4020,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4020,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4020,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4020,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4020,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4021,2,,1,,Private (family/friend etc.),,,,,,,,,,8,14000,,,14600,Yes,2,.b,No,,,4600,Production/ investment/ operating costs,,,,,,,
4021,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4021,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4021,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4021,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4021,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4021,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4022,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4022,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4022,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4022,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4022,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4022,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4023,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4023,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4023,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4023,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4023,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4023,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4024,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4024,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4024,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4024,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4024,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4024,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4025,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4025,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4025,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4025,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4025,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4025,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4026,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4026,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4026,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4026,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4026,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4026,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4027,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4027,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4027,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4027,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4027,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4027,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4028,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4028,2,,11,,,,Food,,Yes,,,,,,9,1000,,,1000,No,,,No,,,1000,,,,,,,,
4028,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4028,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4028,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4028,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4028,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4029,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4029,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4029,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4029,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4029,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4029,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4030,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4030,2,,11,,,,Food,,Yes,,,,,,8,10000,,,10000,No,,,No,,,10000,,,,,,,,
4030,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4030,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4030,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4030,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4030,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4031,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4031,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4031,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4031,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4031,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4031,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4032,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4032,2,,11,,,,Food,,Yes,,,,,,7,2000,,,2000,No,,,No,,,2000,,,,,,,,
4032,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4032,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4032,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4032,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4032,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4033,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4033,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4033,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4033,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4033,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4033,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4034,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4034,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4034,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4034,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4034,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4034,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4035,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4035,2,,11,,,,Food,,Yes,,,,,,9,400,,,400,No,,,No,,,400,,,,,,,,
4035,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4035,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4035,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4035,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4035,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4037,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4037,2,,11,,,,Food,,Yes,,,,,,8,10000,,,10000,No,,,No,,,10000,,,,,,,,
4037,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4037,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4037,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4037,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4037,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4038,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4038,2,,11,,,,Food,,Yes,,,,,,10,3500,,,3500,No,,,No,,,3500,,,,,,,,
4038,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4038,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4038,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4038,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4038,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4039,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4039,2,,11,,,,Food,,Yes,,,,,,9,5700,,,5700,No,,,No,,,4700,,,,,,,,
4039,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4039,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4039,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4039,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4039,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4040,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4040,2,,11,,,,Food,,Yes,,,,,,8,4000,,,4000,No,,,No,,,4000,,,,,,,,
4040,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4040,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4040,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4040,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4040,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4041,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4041,2,,11,,,,Food,,Yes,,,,,,9,10000,,,10000,No,,,No,,,10000,,,,,,,,
4041,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4041,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4041,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4041,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4041,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4042,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4042,2,,11,,,,Food,,Yes,,,,,,2,8000,,,8000,No,,,No,,,6000,,,,,,,,
4042,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4042,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4042,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4042,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4042,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4043,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4043,2,,11,,,,Food,,Yes,,,,,,10,800,,,800,No,,,No,,,800,,,,,,,,
4043,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4043,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4043,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4043,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4043,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4044,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4044,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4044,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4044,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4044,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4044,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4045,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4045,2,,11,,,,Food,,Yes,,,,,,9,3000,,,3000,No,,,No,,,3000,,,,,,,,
4045,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4045,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4045,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4045,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4045,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4047,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4047,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4047,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4047,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4047,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4047,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4048,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4048,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4048,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4048,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4048,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4048,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4049,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4049,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4049,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4049,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4049,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4049,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4050,2,,1,,Private (family/friend etc.),,,,,,,,,,10,2000,,,2000,No,,,No,,,2000,Food,,,,,,,
4050,2,,11,,,,Food,,Yes,,,,,,9,6000,,,6000,No,,,No,,,6000,,,,,,,,
4050,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4050,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4050,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4050,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4050,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4051,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4051,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4051,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4051,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4051,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4051,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4052,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4052,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4052,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4052,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4052,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4052,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4053,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4053,2,,11,,,,Food,,Yes,,,,,,2,3000,,,3000,No,,,No,,,1000,,,,,,,,
4053,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4053,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4053,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4053,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4053,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4054,2,,1,,Private (family/friend etc.),,,,,,,,,,9,45000,,,45000,No,,,No,,,40000,Education costs,,,,,,,
4054,2,,11,,,,Food,,Yes,,,,,,10,2000,,,2000,No,,,No,,,2000,,,,,,,,
4054,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4054,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4054,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4054,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4054,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4055,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4055,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4055,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4055,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4055,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4055,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4056,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4056,2,,11,,,,Food,,Yes,,,,,,9,1000,,,1000,No,,,No,,,1000,,,,,,,,
4056,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4056,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4056,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4056,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4056,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4057,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4057,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4057,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4057,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4057,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4057,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4058,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4058,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4058,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4058,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4058,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4058,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4059,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4059,2,,11,,,,Food,,Yes,,,,,,10,400,,,400,No,,,No,,,0,,,,,,,,
4059,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4059,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4059,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4059,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4059,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4060,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4062,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4064,2,,11,,,,Food,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4064,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4064,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4064,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4064,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4064,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4065,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
4065,2,,11,,,,Food,,Yes,,,,,,10,600,,,600,No,,,No,,,600,,,,,,,,
4065,2,,12,,,,Household durables and supplies,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4065,2,,13,,,,Livestock,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4065,2,,14,,,,Livestock and agricultural inputs,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4065,2,,15,,,,Other investments,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4065,2,,16,,,,All other goods,,No,,,,,,,,,,,,,,,,,,,,,,,,,
4066,2,,.b,,.b,,,,,,,,,,.b,.b,,,.b,.b,.b,.b,.b,.b,.b,.b,.b,,,,,,,
