hhid,round,comment,birthevent,s6q45a,s6q45b,s6q46,s6q47,s6q47b
1002,1,,1,Previous year,November,Cattle,1,
1002,1,,2,Current year,March,Sheep/Goat,1,
1002,2,,2,Current year,April,Cattle,1,
1002,2,,1,Current year,February,Cattle,1,
1002,3,0,1,Current year,August,Cattle,2,
1002,5,0,1,Previous year,November,Cattle,2,
1002,5,0,2,Current year,May,Cattle,1,
1002,6,0,1,Previous year,November,Cattle,2,
1002,6,0,2,Current year,June,Cattle,2,
1003,1,,2,Current year,September,Cattle,1,
1003,1,,1,Current year,August,Cattle,1,
1003,2,,1,Current year,August,Sheep/Goat,1,
1003,3,0,1,Current year,February,Cattle,1,
1003,4,0,2,Current year,September,Cattle,2,
1003,4,0,1,Previous year,December,Cattle,1,
1003,5,0,1,Current year,January,Sheep/Goat,2,
1003,6,0,1,Current year,August,Cattle,1,
1004,1,,1,Current year,May,Cattle,2,
1004,1,,2,Current year,June,Cattle,1,
1004,5,0,1,Current year,March,Cattle,1,
1004,5,0,2,Current year,June,Sheep/Goat,1,
1004,7,,1,2020,April,Cattle,3,3
1004,7,,3,2020,July,Cattle,3,3
1004,7,,2,2020,June,Cattle,3,3
1005,1,,1,Current year,August,Sheep/Goat,4,
1005,1,,2,Current year,September,Sheep/Goat,2,
1005,2,,1,Current year,June,Sheep/Goat,1,
1005,3,0,2,Current year,August,Sheep/Goat,2,
1005,3,0,1,Current year,July,Sheep/Goat,2,
1005,4,0,2,Current year,April,Sheep/Goat,1,
1005,4,0,1,Current year,January,Sheep/Goat,2,
1005,4,0,3,Current year,June,Sheep/Goat,2,
1005,5,0,2,Current year,February,Sheep/Goat,5,
1005,5,0,1,Previous year,December,Sheep/Goat,4,
1005,5,0,3,Current year,August,Sheep/Goat,4,
1006,1,,1,Current year,July,Sheep/Goat,2,
1006,1,,2,Current year,July,Cattle,1,
1006,1,,4,Current year,August,Cattle,1,
1006,1,,3,Current year,August,Sheep/Goat,10,
1006,2,,2,Current year,August,Sheep/Goat,1,
1006,2,,1,Current year,June,Sheep/Goat,3,
1006,5,0,2,Current year,June,Cattle,1,
1006,5,0,1,Current year,May,Cattle,2,
1007,5,0,1,Current year,January,Cattle,1,
1007,6,0,3,Current year,August,Sheep/Goat,1,
1007,6,0,1,Current year,August,Cattle,1,
1007,6,0,2,Previous year,October,Cattle,1,
1008,1,,1,Current year,August,Sheep/Goat,1,
1008,2,,1,Current year,May,Sheep/Goat,2,
1008,3,0,1,Current year,January,Cattle,2,
1008,3,0,3,Current year,September,Sheep/Goat,1,
1008,3,0,2,Previous year,December,Sheep/Goat,1,
1008,4,0,2,Current year,May,Cattle,1,
1008,4,0,3,Current year,August,Cattle,1,
1008,4,0,5,Current year,April,Sheep/Goat,2,
1008,4,0,4,Current year,August,Sheep/Goat,1,
1008,4,0,1,Current year,May,Sheep/Goat,1,
1008,5,0,2,Current year,July,Cattle,1,
1008,5,0,1,Current year,May,Cattle,1,
1009,1,,2,Current year,June,Sheep/Goat,8,
1009,1,,1,Current year,May,Sheep/Goat,9,
1009,2,,3,Current year,January,Sheep/Goat,3,
1009,2,,4,Current year,June,Sheep/Goat,2,
1009,2,,2,Current year,January,Cattle,1,
1009,2,,1,Previous year,December,Cattle,1,
1009,3,0,1,Previous year,October,Cattle,1,
1009,3,0,2,Current year,July,Sheep/Goat,3,
1009,4,0,1,Current year,June,Sheep/Goat,7,
1009,4,0,3,Current year,August,Sheep/Goat,4,
1009,4,0,2,Current year,July,Sheep/Goat,5,
1009,5,0,5,Current year,May,Sheep/Goat,2,
1009,5,0,1,Current year,June,Cattle,1,
1009,5,0,4,Current year,April,Sheep/Goat,1,
1009,5,0,2,Current year,February,Sheep/Goat,2,
1009,5,0,3,Current year,March,Sheep/Goat,1,
1009,5,0,7,Current year,August,Sheep/Goat,2,
1009,5,0,6,Current year,July,Sheep/Goat,2,
1010,2,,1,Current year,June,Sheep/Goat,2,
1010,2,,2,Current year,September,Sheep/Goat,1,
1010,3,0,1,.a,.a,Sheep/Goat,7,
1010,4,0,2,Current year,July,Sheep/Goat,3,
1010,4,0,1,Current year,April,Sheep/Goat,3,
1010,4,0,3,Current year,September,Sheep/Goat,1,
1012,1,,2,Current year,May,Sheep/Goat,2,
1012,1,,1,Previous year,December,Cattle,1,
1012,7,,1,2020,October,Goat,1,1
1013,1,,1,Current year,June,Sheep/Goat,2,
1013,2,,1,Current year,May,Sheep/Goat,2,
1013,3,0,2,Current year,September,Sheep/Goat,1,
1013,3,0,1,Current year,June,Sheep/Goat,4,
1013,4,0,1,Current year,May,Sheep/Goat,2,
1013,6,0,1,Current year,March,Sheep/Goat,4,
1013,6,0,2,Current year,July,Sheep/Goat,1,
1013,7,,1,2019,January,Goat,2,2
1013,7,,2,2019,January,Goat,2,2
1013,7,,1,2019,January,Sheep,1,1
1014,5,0,2,Current year,June,Sheep/Goat,1,
1014,5,0,1,Previous year,November,Cattle,1,
1014,5,0,3,Current year,July,Sheep/Goat,1,
1014,6,0,3,Current year,July,Sheep/Goat,1,
1014,6,0,2,Current year,April,Sheep/Goat,1,
1014,6,0,1,Current year,June,Cattle,1,
1015,7,,1,2020,August,Goat,2,1
1016,3,0,1,.a,.a,Sheep/Goat,1,
1016,3,0,2,.a,.a,Sheep/Goat,1,
1016,4,0,1,Previous year,November,Sheep/Goat,1,
1016,5,0,1,Current year,September,Sheep/Goat,1,
1016,7,,1,2020,July,Goat,1,1
1017,2,,1,Current year,May,Sheep/Goat,1,
1017,3,0,1,Current year,August,Sheep/Goat,1,
1017,4,0,1,Previous year,October,Sheep/Goat,1,
1017,5,0,1,Current year,January,Sheep/Goat,1,
1017,5,0,2,Current year,July,Sheep/Goat,1,
1018,2,,1,Current year,June,Sheep/Goat,2,
1018,5,0,1,Current year,March,Cattle,1,
1018,6,0,1,Current year,June,Cattle,1,
1019,3,0,1,Previous year,November,Cattle,1,
1019,4,0,1,Current year,August,Cattle,2,
1019,5,0,1,Current year,March,Cattle,1,
1019,7,,1,2020,November,Goat,1,1
1020,1,,1,Current year,March,Cattle,1,
1020,2,,1,Current year,February,Cattle,2,
1020,2,,3,Current year,June,Sheep/Goat,1,
1020,2,,2,Current year,May,Cattle,2,
1020,3,0,2,Current year,July,Sheep/Goat,18,
1020,3,0,1,Current year,June,Cattle,1,
1020,7,,3,2020,December,Cattle,3,3
1020,7,,1,2020,December,Cattle,3,3
1020,7,,2,2020,December,Cattle,3,3
1021,1,,1,Current year,April,Cattle,1,
1021,1,,2,Current year,May,Cattle,1,
1022,1,,1,Current year,January,Cattle,1,
1022,4,0,2,Current year,August,Sheep/Goat,2,
1022,4,0,1,Current year,May,Sheep/Goat,3,
1022,5,0,3,Current year,July,Sheep/Goat,3,
1022,5,0,2,Current year,May,Sheep/Goat,6,
1022,5,0,1,Current year,March,Sheep/Goat,3,
1022,7,,2,2020,May,Sheep,20,19
1022,7,,4,2020,November,Cattle,4,4
1022,7,,13,2020,November,Sheep,20,19
1022,7,,1,2020,May,Sheep,20,19
1022,7,,6,2020,August,Sheep,20,19
1022,7,,8,2020,November,Sheep,20,19
1022,7,,15,2020,November,Sheep,20,19
1022,7,,10,2020,November,Goat,10,10
1022,7,,17,2020,December,Sheep,20,19
1022,7,,5,2020,September,Goat,10,10
1022,7,,4,2020,August,Sheep,20,19
1022,7,,9,2020,November,Goat,10,10
1022,7,,11,2020,November,Sheep,20,19
1022,7,,12,2020,November,Sheep,20,19
1022,7,,2,2020,May,Goat,10,10
1022,7,,16,2020,December,Sheep,20,19
1022,7,,7,2020,November,Goat,10,10
1022,7,,10,2020,November,Sheep,20,19
1022,7,,2,2020,October,Cattle,4,4
1022,7,,5,2020,August,Sheep,20,19
1022,7,,8,2020,November,Goat,10,10
1022,7,,7,2020,November,Sheep,20,19
1022,7,,1,2020,May,Goat,10,10
1022,7,,6,2020,September,Goat,10,10
1022,7,,3,2020,August,Sheep,20,19
1022,7,,4,2020,September,Goat,10,10
1022,7,,18,2020,December,Sheep,20,19
1022,7,,3,2020,May,Goat,10,10
1022,7,,1,2020,October,Cattle,4,4
1022,7,,14,2020,November,Sheep,20,19
1022,7,,19,2020,December,Sheep,20,19
1022,7,,9,2020,November,Sheep,20,19
1022,7,,3,2020,November,Cattle,4,4
1023,1,,3,Current year,August,Sheep/Goat,3,
1023,1,,2,Current year,August,Cattle,2,
1023,1,,1,Current year,July,Cattle,3,
1023,2,,1,Previous year,December,Cattle,2,
1023,2,,2,Current year,February,Cattle,1,
1023,3,0,1,Previous year,November,Cattle,6,
1023,3,0,2,Current year,July,Sheep/Goat,1,
1024,1,,1,Current year,March,Sheep/Goat,3,
1024,1,,2,Current year,May,Sheep/Goat,4,
1024,3,0,1,Current year,August,Cattle,1,
1024,3,0,2,Current year,September,Sheep/Goat,3,
1024,4,0,1,Previous year,November,Cattle,1,
1024,4,0,4,Current year,August,Sheep/Goat,5,
1024,4,0,2,Current year,September,Cattle,1,
1024,4,0,3,Previous year,December,Sheep/Goat,2,
1024,5,0,2,Current year,July,Sheep/Goat,2,
1024,5,0,1,Current year,January,Cattle,2,
1024,6,0,1,Current year,April,Cattle,1,
1024,6,0,2,Current year,September,Sheep/Goat,6,
1024,7,,2,2020,July,Goat,5,4
1024,7,,4,2020,August,Goat,5,4
1024,7,,5,2019,January,Cattle,5,5
1024,7,,3,2020,June,Goat,5,4
1024,7,,4,2019,January,Cattle,5,5
1024,7,,1,2020,June,Goat,5,4
1024,7,,2,2019,January,Cattle,5,5
1024,7,,1,2019,January,Cattle,5,5
1024,7,,3,2019,January,Cattle,5,5
1025,1,,4,Current year,August,Sheep/Goat,1,
1025,1,,1,Current year,April,Cattle,1,
1025,1,,3,Current year,July,Sheep/Goat,4,
1025,1,,2,Current year,June,Sheep/Goat,8,
1025,2,,1,Current year,January,Sheep/Goat,1,
1025,2,,2,Current year,May,Sheep/Goat,3,
1025,3,0,2,Current year,August,Sheep/Goat,1,
1025,3,0,1,Current year,September,Cattle,1,
1025,4,0,1,Current year,June,Sheep/Goat,2,
1025,4,0,2,Current year,August,Sheep/Goat,1,
1025,4,0,3,Current year,July,Cattle,1,
1025,5,0,3,Current year,March,Sheep/Goat,1,
1025,5,0,2,Current year,January,Cattle,1,
1025,5,0,1,Current year,September,Cattle,1,
1025,5,0,4,Current year,August,Sheep/Goat,5,
1025,6,0,2,Current year,August,Sheep/Goat,2,
1025,6,0,1,Current year,September,Sheep/Goat,1,
1025,7,,1,2020,December,Goat,2,2
1025,7,,2,2020,December,Goat,2,2
1025,7,,1,2020,December,Cattle,1,1
1026,3,0,1,Current year,April,Sheep/Goat,1,
1026,4,0,1,Current year,March,Cattle,2,
1026,4,0,3,Current year,August,Sheep/Goat,2,
1026,4,0,2,Current year,April,Sheep/Goat,2,
1026,5,0,2,Current year,July,Sheep/Goat,2,
1026,5,0,1,Current year,August,Sheep/Goat,1,
1026,7,,1,2019,January,Cattle,6,6
1026,7,,2,2019,February,Cattle,6,6
1026,7,,5,2019,March,Cattle,6,6
1026,7,,6,2019,March,Cattle,6,6
1026,7,,4,2019,February,Cattle,6,6
1026,7,,3,2019,February,Cattle,6,6
1027,1,,1,Current year,March,Sheep/Goat,1,
1027,1,,2,Previous year,October,Sheep/Goat,1,
1027,3,0,1,Current year,July,Sheep/Goat,3,
1029,2,,1,.a,.a,Sheep/Goat,22,
1029,4,0,1,Current year,January,Sheep/Goat,2,
1029,4,0,2,Current year,April,Sheep/Goat,2,
1029,4,0,3,Current year,July,Cattle,1,
1029,7,,4,2020,September,Sheep,5,5
1029,7,,3,2020,December,Goat,4,4
1029,7,,2,2020,July,Goat,4,4
1029,7,,3,2020,September,Sheep,5,5
1029,7,,1,2020,July,Goat,4,4
1029,7,,4,2020,December,Goat,4,4
1029,7,,5,2020,December,Sheep,5,5
1029,7,,1,2020,July,Sheep,5,5
1029,7,,2,2020,July,Sheep,5,5
1031,1,,1,Previous year,November,Cattle,1,
1031,1,,3,Current year,June,Cattle,5,
1031,1,,2,Current year,May,Cattle,9,
1031,2,,3,Current year,June,Sheep/Goat,1,
1031,2,,1,Current year,January,Cattle,1,
1031,2,,2,Current year,April,Sheep/Goat,3,
1031,3,0,1,Current year,March,Cattle,2,
1031,3,0,2,Current year,August,Cattle,1,
1031,5,0,2,Current year,February,Sheep/Goat,3,
1031,5,0,1,Previous year,October,Cattle,1,
1031,6,0,1,Current year,April,Cattle,2,
1031,7,,3,2020,July,Cattle,5,5
1031,7,,5,2020,November,Cattle,5,5
1031,7,,1,2020,April,Cattle,5,5
1031,7,,2,2020,May,Cattle,5,5
1031,7,,4,2020,August,Cattle,5,5
1032,1,,1,Previous year,November,Cattle,2,
1032,1,,2,Current year,February,Cattle,1,
1032,1,,4,Current year,August,Cattle,1,
1032,1,,3,Current year,July,Sheep/Goat,2,
1032,2,,1,.a,.a,Sheep/Goat,7,
1032,3,0,2,Current year,April,Sheep/Goat,10,
1032,3,0,1,Current year,February,Cattle,4,
1032,3,0,3,Current year,May,Sheep/Goat,6,
1032,5,0,3,Current year,September,Sheep/Goat,9,
1032,5,0,1,Current year,July,Camel,1,
1032,5,0,2,Current year,August,Cattle,1,
1032,7,,4,2020,September,Goat,4,4
1032,7,,1,2020,August,Goat,4,4
1032,7,,3,2020,September,Goat,4,4
1032,7,,2,2020,August,Goat,4,4
1033,1,,2,Current year,September,Sheep/Goat,20,
1033,1,,1,Current year,September,Cattle,5,
1033,2,,5,Current year,September,Sheep/Goat,24,
1033,2,,2,Current year,April,Camel,1,
1033,2,,1,Current year,February,Camel,2,
1033,2,,3,Current year,May,Cattle,2,
1033,2,,4,Current year,September,Cattle,3,
1033,3,0,1,Current year,March,Sheep/Goat,4,
1033,4,0,1,Current year,March,Sheep/Goat,2,
1033,4,0,2,Current year,June,Sheep/Goat,3,
1033,4,0,3,Previous year,November,Sheep/Goat,4,
1033,5,0,1,Current year,April,Camel,2,
1033,5,0,6,Current year,August,Sheep/Goat,5,
1033,5,0,5,Current year,July,Sheep/Goat,5,
1033,5,0,4,Current year,March,Sheep/Goat,5,
1033,5,0,3,Current year,July,Cattle,1,
1033,5,0,2,Current year,June,Cattle,1,
1033,6,0,1,Current year,February,Camel,6,
1033,6,0,2,Current year,July,Sheep/Goat,1,
1034,1,,2,Current year,September,Cattle,1,
1034,1,,1,Current year,July,Cattle,2,
1034,3,0,2,Current year,August,Cattle,8,
1034,3,0,1,Current year,July,Cattle,6,
1034,4,0,1,Current year,August,Cattle,2,
1034,4,0,2,Current year,August,Sheep/Goat,3,
1034,5,0,3,Current year,August,Cattle,1,
1034,5,0,1,Previous year,November,Cattle,1,
1034,5,0,5,Current year,August,Sheep/Goat,1,
1034,5,0,2,Current year,May,Cattle,1,
1034,5,0,4,Current year,March,Sheep/Goat,1,
1034,7,,1,2020,August,Cattle,3,3
1034,7,,2,2020,August,Cattle,3,3
1034,7,,3,2020,October,Cattle,3,3
1034,7,,4,2020,August,Goat,10,8
1034,7,,6,2020,November,Goat,10,8
1034,7,,1,2020,May,Goat,10,8
1034,7,,7,2020,November,Goat,10,8
1034,7,,8,2020,November,Goat,10,8
1034,7,,5,2020,November,Goat,10,8
1034,7,,3,2020,August,Goat,10,8
1034,7,,2,2020,August,Goat,10,8
1035,2,,1,Current year,August,Sheep/Goat,36,
1035,3,0,1,Previous year,December,Sheep/Goat,34,
1035,3,0,2,Current year,March,Sheep/Goat,60,
1035,4,0,1,Current year,June,Sheep/Goat,7,
1035,4,0,2,Current year,August,Sheep/Goat,9,
1036,1,,3,Current year,June,Cattle,1,
1036,1,,2,Current year,May,Cattle,1,
1036,1,,1,Current year,March,Cattle,1,
1036,2,,1,Current year,January,Cattle,1,
1036,4,0,2,Current year,September,Cattle,3,
1036,4,0,1,Previous year,December,Cattle,3,
1036,7,,1,2020,December,Cattle,1,1
1037,1,,1,Current year,July,Cattle,3,
1037,2,,1,Previous year,October,Camel,1,
1037,2,,2,Previous year,December,Cattle,2,
1037,7,,1,2020,December,Goat,1,1
1038,1,,1,Current year,July,Cattle,2,
1039,1,,2,Current year,September,Sheep/Goat,1,
1039,1,,1,Current year,July,Cattle,1,
1039,2,,2,Current year,May,Sheep/Goat,1,
1039,2,,1,Current year,April,Sheep/Goat,1,
1039,4,0,1,Current year,January,Sheep/Goat,1,
1039,5,0,2,Current year,June,Sheep/Goat,1,
1039,5,0,1,Previous year,October,Sheep/Goat,1,
1039,6,0,1,Current year,June,Sheep/Goat,2,
1042,6,0,3,Current year,June,Sheep/Goat,1,
1042,6,0,2,Current year,May,Sheep/Goat,2,
1042,6,0,1,Previous year,October,Sheep/Goat,2,
1043,1,,1,Previous year,October,Sheep/Goat,4,
1043,1,,2,Current year,February,Sheep/Goat,2,
1043,1,,3,Current year,March,Sheep/Goat,2,
1043,2,,2,Current year,January,Camel,1,
1043,2,,1,Previous year,November,Camel,2,
1043,2,,3,Current year,September,Sheep/Goat,10,
1043,3,0,1,Current year,January,Camel,3,
1043,3,0,3,Current year,June,Sheep/Goat,6,
1043,3,0,2,Current year,April,Sheep/Goat,9,
1043,4,0,1,Current year,June,Sheep/Goat,4,
1043,4,0,2,Current year,August,Sheep/Goat,4,
1043,5,0,2,Current year,July,Sheep/Goat,2,
1043,5,0,1,Current year,May,Sheep/Goat,3,
1045,1,,1,Current year,July,Cattle,1,
1045,1,,2,Current year,August,Cattle,2,
1045,2,,1,Previous year,December,Camel,1,
1045,3,0,1,.a,.a,Camel,1,
1045,3,0,4,Previous year,December,Cattle,1,
1045,3,0,6,Current year,May,Sheep/Goat,1,
1045,3,0,2,Previous year,December,Camel,1,
1045,3,0,3,Current year,February,Camel,1,
1045,3,0,5,Current year,August,Sheep/Goat,1,
1047,1,,1,Current year,August,Sheep/Goat,1,
1047,2,,1,Previous year,December,Cattle,1,
1047,2,,2,Current year,June,Sheep/Goat,2,
1047,3,0,5,Current year,August,Sheep/Goat,1,
1047,3,0,2,Previous year,October,Cattle,1,
1047,3,0,4,Current year,April,Sheep/Goat,2,
1047,3,0,3,Current year,July,Sheep/Goat,1,
1047,3,0,1,Current year,January,Cattle,1,
1047,4,0,1,Previous year,November,Sheep/Goat,2,
1047,5,0,1,Previous year,November,Cattle,2,
1047,5,0,2,Current year,January,Sheep/Goat,2,
1047,6,0,1,Previous year,October,Camel,1,
1047,6,0,2,Current year,September,Sheep/Goat,2,
1047,7,,1,2020,November,Goat,1,1
2001,3,0,2,Current year,March,Cattle,1,
2001,3,0,3,Current year,May,Cattle,1,
2001,3,0,1,Current year,January,Cattle,1,
2001,4,0,2,Current year,June,Cattle,1,
2001,4,0,1,Previous year,November,Cattle,1,
2001,5,0,1,Current year,September,Cattle,2,
2001,6,0,1,Previous year,October,Cattle,1,
2001,6,0,2,Previous year,November,Cattle,1,
2002,1,,4,Current year,February,Sheep/Goat,15,
2002,1,,3,Previous year,December,Camel,1,
2002,1,,1,Previous year,October,Sheep/Goat,10,
2002,1,,2,Previous year,October,Cattle,3,
2002,2,,2,Current year,March,Sheep/Goat,19,
2002,2,,4,Current year,September,Cattle,1,
2002,2,,3,Current year,June,Sheep/Goat,15,
2002,2,,1,Previous year,December,Sheep/Goat,13,
2002,3,0,1,Previous year,November,Camel,1,
2002,3,0,2,Current year,August,Sheep/Goat,5,
2002,4,0,1,Previous year,October,Sheep/Goat,2,
2002,4,0,2,Previous year,November,Sheep/Goat,2,
2002,4,0,4,Current year,September,Sheep/Goat,4,
2002,4,0,3,Current year,June,Sheep/Goat,3,
2002,5,0,3,Previous year,October,Sheep/Goat,2,
2002,5,0,4,Previous year,December,Sheep/Goat,12,
2002,5,0,1,Current year,July,Camel,1,
2002,5,0,5,Current year,January,Sheep/Goat,10,
2002,5,0,2,Previous year,November,Cattle,1,
2002,5,0,6,Current year,August,Sheep/Goat,8,
2002,6,0,1,Current year,March,Cattle,1,
2002,6,0,4,Current year,June,Camel,1,
2002,6,0,5,Previous year,November,Sheep/Goat,12,
2002,6,0,2,Current year,April,Cattle,2,
2002,6,0,9,Current year,July,Sheep/Goat,3,
2002,6,0,7,Current year,February,Sheep/Goat,7,
2002,6,0,6,Current year,January,Sheep/Goat,5,
2002,6,0,10,Current year,August,Sheep/Goat,2,
2002,6,0,8,Current year,March,Sheep/Goat,10,
2002,6,0,3,Previous year,December,Camel,1,
2002,7,,6,2020,October,Goat,8,8
2002,7,,3,2020,June,Goat,8,8
2002,7,,4,2020,October,Goat,8,8
2002,7,,5,2020,October,Goat,8,8
2002,7,,8,2020,October,Goat,8,8
2002,7,,2,2020,June,Goat,8,8
2002,7,,1,2020,December,Cattle,1,1
2002,7,,1,2020,August,Goat,8,8
2002,7,,7,2020,October,Goat,8,8
2003,1,,1,Previous year,November,Sheep/Goat,15,
2003,1,,2,Current year,March,Sheep/Goat,10,
2003,1,,3,Current year,September,Sheep/Goat,7,
2003,1,,4,Current year,September,Cattle,1,
2003,2,,3,Current year,June,Sheep/Goat,10,
2003,2,,1,Previous year,December,Sheep/Goat,8,
2003,2,,4,Current year,September,Sheep/Goat,4,
2003,2,,2,Current year,March,Sheep/Goat,5,
2004,1,,1,Previous year,October,Cattle,1,
2004,1,,2,Previous year,November,Sheep/Goat,2,
2004,1,,4,Current year,May,Sheep/Goat,1,
2004,1,,3,Current year,January,Cattle,1,
2004,2,,1,Previous year,December,Sheep/Goat,3,
2004,2,,2,Current year,August,Sheep/Goat,3,
2004,4,0,3,Current year,August,Sheep/Goat,2,
2004,4,0,2,Current year,January,Sheep/Goat,1,
2004,4,0,1,Previous year,October,Sheep/Goat,2,
2004,5,0,2,Current year,September,Sheep/Goat,1,
2004,5,0,1,Current year,June,Sheep/Goat,1,
2004,6,0,1,Current year,July,Sheep/Goat,1,
2004,6,0,3,Previous year,December,Sheep/Goat,2,
2004,6,0,2,Current year,May,Sheep/Goat,2,
2005,1,,1,Current year,February,Camel,1,
2005,1,,2,Current year,February,Sheep/Goat,1,
2005,1,,3,Current year,February,Cattle,1,
2005,2,,2,Current year,July,Sheep/Goat,3,
2005,2,,1,Current year,January,Cattle,5,
2005,2,,3,Current year,September,Sheep/Goat,2,
2005,3,0,1,Current year,February,Cattle,7,
2005,3,0,4,Current year,July,Sheep/Goat,2,
2005,3,0,2,Current year,April,Cattle,6,
2005,3,0,3,Current year,April,Sheep/Goat,3,
2005,4,0,2,Current year,March,Sheep/Goat,11,
2005,4,0,1,Current year,August,Cattle,2,
2005,5,0,2,Current year,September,Cattle,4,
2005,5,0,6,Current year,August,Sheep/Goat,2,
2005,5,0,5,Current year,July,Sheep/Goat,4,
2005,5,0,3,Current year,April,Sheep/Goat,5,
2005,5,0,1,Current year,July,Cattle,1,
2005,5,0,4,Current year,June,Sheep/Goat,3,
2005,6,0,4,Current year,June,Cattle,4,
2005,6,0,2,Current year,April,Sheep/Goat,4,
2005,6,0,1,Previous year,December,Sheep/Goat,8,
2005,6,0,3,Current year,February,Cattle,5,
2005,7,,2,2019,February,Cattle,6,6
2005,7,,1,2020,November,Sheep,2,2
2005,7,,3,2020,November,Goat,4,4
2005,7,,3,2019,March,Cattle,6,6
2005,7,,4,2020,May,Cattle,6,6
2005,7,,2,2020,December,Sheep,2,2
2005,7,,1,2019,January,Cattle,6,6
2005,7,,1,2020,May,Goat,4,4
2005,7,,6,2020,November,Cattle,6,6
2005,7,,5,2020,July,Cattle,6,6
2005,7,,4,2020,December,Goat,4,4
2005,7,,2,2020,August,Goat,4,4
2007,1,,1,Current year,March,Cattle,1,
2007,2,,1,Current year,May,Sheep/Goat,2,
2007,4,0,1,Current year,September,Sheep/Goat,2,
2007,5,0,1,Previous year,December,Sheep/Goat,1,
2007,5,0,2,Current year,September,Sheep/Goat,1,
2007,7,,2,2020,August,Goat,3,3
2007,7,,1,2020,June,Goat,3,3
2007,7,,3,2020,August,Goat,3,3
2008,1,,1,Current year,March,Cattle,1,
2008,2,,1,Current year,March,Camel,1,
2008,4,0,2,Current year,January,Camel,1,
2008,4,0,1,Current year,August,Sheep/Goat,2,
2008,5,0,2,Current year,August,Sheep/Goat,1,
2008,5,0,1,Current year,March,Camel,1,
2008,6,0,5,Current year,June,Sheep/Goat,2,
2008,6,0,1,Previous year,October,Cattle,2,
2008,6,0,4,Current year,September,Sheep/Goat,5,
2008,6,0,3,Previous year,November,Cattle,1,
2008,6,0,2,Current year,September,Cattle,1,
2009,1,,1,Previous year,November,Cattle,1,
2009,1,,2,Current year,April,Cattle,1,
2009,3,0,1,Current year,January,Cattle,9,
2009,4,0,2,Current year,July,Sheep/Goat,2,
2009,4,0,1,Current year,June,Sheep/Goat,1,
2009,5,0,2,Current year,July,Cattle,1,
2009,5,0,3,Current year,August,Cattle,1,
2009,5,0,4,Current year,September,Cattle,1,
2009,5,0,1,Previous year,December,Cattle,2,
2009,5,0,5,Current year,April,Sheep/Goat,1,
2009,6,0,2,Previous year,November,Cattle,2,
2009,6,0,1,Current year,September,Sheep/Goat,2,
2009,6,0,3,Previous year,December,Cattle,2,
2009,7,,8,2020,November,Goat,9,9
2009,7,,9,2020,November,Goat,9,9
2009,7,,7,2020,November,Goat,9,9
2009,7,,4,2020,November,Goat,9,9
2009,7,,3,2020,November,Goat,9,9
2009,7,,2,2020,November,Goat,9,9
2009,7,,5,2020,November,Goat,9,9
2009,7,,6,2020,November,Goat,9,9
2009,7,,1,2020,November,Goat,9,9
2010,1,,1,Current year,April,Sheep/Goat,2,
2010,4,0,1,Current year,March,Sheep/Goat,1,
2010,5,0,1,Current year,August,Sheep/Goat,2,
2010,5,0,2,Current year,September,Sheep/Goat,3,
2010,7,,1,2020,November,Sheep,1,1
2010,7,,3,2020,November,Goat,5,4
2010,7,,1,2020,November,Goat,5,4
2010,7,,2,2020,November,Goat,5,4
2010,7,,4,2020,November,Goat,5,4
2011,1,,1,Current year,March,Sheep/Goat,1,
2011,1,,2,Current year,March,Cattle,3,
2011,5,0,1,Previous year,October,Cattle,2,
2011,6,0,1,Previous year,October,Sheep/Goat,2,
2011,7,,1,2020,September,Cattle,1,1
2012,2,,1,Current year,April,Sheep/Goat,2,
2012,2,,2,Current year,May,Sheep/Goat,2,
2012,3,0,1,Current year,April,Sheep/Goat,2,
2012,4,0,3,Current year,August,Sheep/Goat,4,
2012,4,0,2,Current year,May,Sheep/Goat,1,
2012,4,0,1,Current year,January,Sheep/Goat,3,
2012,5,0,1,Current year,January,Sheep/Goat,2,
2012,5,0,2,Current year,August,Sheep/Goat,2,
2012,6,0,1,Current year,May,Sheep/Goat,1,
2012,6,0,2,Current year,June,Sheep/Goat,1,
2012,7,,2,2019,February,Goat,3,3
2012,7,,1,2019,January,Goat,3,3
2012,7,,3,2019,March,Goat,3,3
2012,7,,2,2019,March,Sheep,2,2
2012,7,,1,2019,February,Sheep,2,2
2013,1,,1,Current year,March,Sheep/Goat,2,
2013,3,0,1,Current year,May,Sheep/Goat,2,
2013,3,0,2,Current year,July,Sheep/Goat,1,
2013,4,0,2,Current year,September,Sheep/Goat,1,
2013,4,0,1,Previous year,October,Sheep/Goat,4,
2013,5,0,2,Current year,July,Sheep/Goat,2,
2013,5,0,1,Previous year,October,Sheep/Goat,2,
2014,1,,1,Current year,May,Cattle,2,
2015,1,,2,Current year,July,Sheep/Goat,1,
2015,1,,1,Current year,April,Sheep/Goat,1,
2015,6,0,1,Current year,September,Sheep/Goat,1,
2015,7,,1,2020,September,Goat,4,4
2015,7,,4,2020,September,Goat,4,4
2015,7,,3,2020,September,Goat,4,4
2015,7,,2,2020,September,Goat,4,4
2016,1,,2,Current year,February,Sheep/Goat,5,
2016,1,,3,Current year,April,Sheep/Goat,2,
2016,1,,1,Current year,January,Sheep/Goat,2,
2016,2,,4,Current year,September,Sheep/Goat,1,
2016,2,,3,Current year,April,Sheep/Goat,1,
