hhid,round,comment,shock,s7q10,s7q10a,s7q12,s7q13,s7q14
4077,6,0,Food price increase,No,,,,
4077,6,0,Other (specify),No,,,,
4078,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within the same season (In a few months)
4078,6,0,Flood,No,,,,
4078,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within a month
4078,6,0,Crop disease or pest,No,,,,
4078,6,0,Loss/sickness of a member of your household,No,,,,
4078,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4078,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
4078,6,0,Other (specify),No,,,,
4079,6,0,Drought,No,,,,
4079,6,0,Flood,No,,,,
4079,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
4079,6,0,Crop disease or pest,No,,,,
4079,6,0,Loss/sickness of a member of your household,No,,,,
4079,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4079,6,0,Food price increase,No,,,,
4079,6,0,Other (specify),No,,,,
4082,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Moderate effect,Within the same season (In a few months)
4082,6,0,Flood,No,,,,
4082,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long dry season (Jun-Sep current year),Large effect,About one year
4082,6,0,Crop disease or pest,No,,,,
4082,6,0,Loss/sickness of a member of your household,No,,,,
4082,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4082,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within two seasons (about half a year)
4082,6,0,Other (specify),No,,,,
4083,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
4083,6,0,Flood,No,,,,
4083,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
4083,6,0,Crop disease or pest,No,,,,
4083,6,0,Loss/sickness of a member of your household,No,,,,
4083,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4083,6,0,Food price increase,No,,,,
4083,6,0,Other (specify),No,,,,
4084,6,0,Drought,No,,,,
4084,6,0,Flood,No,,,,
4084,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
4084,6,0,Crop disease or pest,No,,,,
4084,6,0,Loss/sickness of a member of your household,No,,,,
4084,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4084,6,0,Food price increase,No,,,,
4084,6,0,Other (specify),No,,,,
4086,6,0,Drought,No,,,,
4086,6,0,Flood,No,,,,
4086,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within two seasons (about half a year)
4086,6,0,Crop disease or pest,No,,,,
4086,6,0,Loss/sickness of a member of your household,No,,,,
4086,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4086,6,0,Food price increase,No,,,,
4086,6,0,Other (specify),No,,,,
4087,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
4087,6,0,Flood,No,,,,
4087,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long rainy season (Mar-May current year),Mild effect,Within the same season (In a few months)
4087,6,0,Crop disease or pest,No,,,,
4087,6,0,Loss/sickness of a member of your household,No,,,,
4087,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4087,6,0,Food price increase,No,,,,
4087,6,0,Other (specify),No,,,,
4089,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Moderate effect,Within two seasons (about half a year)
4089,6,0,Flood,No,,,,
4089,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Large effect,About one year
4089,6,0,Crop disease or pest,No,,,,
4089,6,0,Loss/sickness of a member of your household,No,,,,
4089,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4089,6,0,Food price increase,No,,,,
4089,6,0,Other (specify),No,,,,
4090,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
4090,6,0,Flood,No,,,,
4090,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
4090,6,0,Crop disease or pest,No,,,,
4090,6,0,Loss/sickness of a member of your household,No,,,,
4090,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4090,6,0,Food price increase,No,,,,
4090,6,0,Other (specify),No,,,,
4091,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Moderate effect,Within the same season (In a few months)
4091,6,0,Flood,No,,,,
4091,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short dry season (Jan-Feb current year),Mild effect,About one year
4091,6,0,Crop disease or pest,No,,,,
4091,6,0,Loss/sickness of a member of your household,No,,,,
4091,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4091,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
4091,6,0,Other (specify),No,,,,
4095,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
4095,6,0,Flood,No,,,,
4095,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
4095,6,0,Crop disease or pest,No,,,,
4095,6,0,Loss/sickness of a member of your household,No,,,,
4095,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4095,6,0,Food price increase,No,,,,
4095,6,0,Other (specify),No,,,,
4098,6,0,Drought,No,,,,
4098,6,0,Flood,No,,,,
4098,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short dry season (Jan-Feb current year),Moderate effect,Within two seasons (about half a year)
4098,6,0,Crop disease or pest,No,,,,
4098,6,0,Loss/sickness of a member of your household,No,,,,
4098,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4098,6,0,Food price increase,No,,,,
4098,6,0,Other (specify),No,,,,
4103,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
4103,6,0,Flood,No,,,,
4103,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
4103,6,0,Crop disease or pest,No,,,,
4103,6,0,Loss/sickness of a member of your household,No,,,,
4103,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4103,6,0,Food price increase,No,,,,
4103,6,0,Other (specify),No,,,,
4107,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Mild effect,Within the same season (In a few months)
4107,6,0,Flood,No,,,,
4107,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long dry season (Jun-Sep current year),Moderate effect,About one year
4107,6,0,Crop disease or pest,No,,,,
4107,6,0,Loss/sickness of a member of your household,No,,,,
4107,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4107,6,0,Food price increase,No,,,,
4107,6,0,Other (specify),No,,,,
4108,6,0,Drought,No,,,,
4108,6,0,Flood,No,,,,
4108,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
4108,6,0,Crop disease or pest,No,,,,
4108,6,0,Loss/sickness of a member of your household,No,,,,
4108,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4108,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within two seasons (about half a year)
4108,6,0,Other (specify),No,,,,
4110,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
4110,6,0,Flood,No,,,,
4110,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
4110,6,0,Crop disease or pest,No,,,,
4110,6,0,Loss/sickness of a member of your household,No,,,,
4110,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4110,6,0,Food price increase,No,,,,
4110,6,0,Other (specify),No,,,,
4111,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Moderate effect,About one year
4111,6,0,Flood,No,,,,
4111,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,About one year
4111,6,0,Crop disease or pest,No,,,,
4111,6,0,Loss/sickness of a member of your household,No,,,,
4111,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
4111,6,0,Food price increase,No,,,,
4111,6,0,Other (specify),No,,,,
5001,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within the same season (In a few months)
5001,6,0,Flood,No,,,,
5001,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5001,6,0,Crop disease or pest,No,,,,
5001,6,0,Loss/sickness of a member of your household,No,,,,
5001,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5001,6,0,Food price increase,No,,,,
5001,6,0,Other (specify),No,,,,
5002,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within a month
5002,6,0,Flood,No,,,,
5002,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5002,6,0,Crop disease or pest,No,,,,
5002,6,0,Loss/sickness of a member of your household,No,,,,
5002,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5002,6,0,Food price increase,No,,,,
5002,6,0,Other (specify),No,,,,
5005,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
5005,6,0,Flood,No,,,,
5005,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5005,6,0,Crop disease or pest,No,,,,
5005,6,0,Loss/sickness of a member of your household,No,,,,
5005,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5005,6,0,Food price increase,No,,,,
5005,6,0,Other (specify),No,,,,
5009,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within the same season (In a few months)
5009,6,0,Flood,No,,,,
5009,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5009,6,0,Crop disease or pest,No,,,,
5009,6,0,Loss/sickness of a member of your household,No,,,,
5009,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5009,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),No effect,
5009,6,0,Other (specify),No,,,,
5010,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5010,6,0,Flood,No,,,,
5010,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5010,6,0,Crop disease or pest,No,,,,
5010,6,0,Loss/sickness of a member of your household,No,,,,
5010,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5010,6,0,Food price increase,No,,,,
5010,6,0,Other (specify),No,,,,
5011,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within a month
5011,6,0,Flood,No,,,,
5011,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5011,6,0,Crop disease or pest,No,,,,
5011,6,0,Loss/sickness of a member of your household,No,,,,
5011,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5011,6,0,Food price increase,No,,,,
5011,6,0,Other (specify),No,,,,
5012,6,0,Drought,No,,,,
5012,6,0,Flood,No,,,,
5012,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5012,6,0,Crop disease or pest,No,,,,
5012,6,0,Loss/sickness of a member of your household,No,,,,
5012,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5012,6,0,Food price increase,No,,,,
5012,6,0,Other (specify),No,,,,
5013,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within a month
5013,6,0,Flood,No,,,,
5013,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5013,6,0,Crop disease or pest,No,,,,
5013,6,0,Loss/sickness of a member of your household,No,,,,
5013,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5013,6,0,Food price increase,No,,,,
5013,6,0,Other (specify),No,,,,
5015,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5015,6,0,Flood,No,,,,
5015,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5015,6,0,Crop disease or pest,No,,,,
5015,6,0,Loss/sickness of a member of your household,No,,,,
5015,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5015,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5015,6,0,Other (specify),No,,,,
5016,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
5016,6,0,Flood,No,,,,
5016,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
5016,6,0,Crop disease or pest,No,,,,
5016,6,0,Loss/sickness of a member of your household,No,,,,
5016,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5016,6,0,Food price increase,No,,,,
5016,6,0,Other (specify),No,,,,
5018,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5018,6,0,Flood,No,,,,
5018,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5018,6,0,Crop disease or pest,No,,,,
5018,6,0,Loss/sickness of a member of your household,No,,,,
5018,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5018,6,0,Food price increase,No,,,,
5018,6,0,Other (specify),No,,,,
5019,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within a month
5019,6,0,Flood,No,,,,
5019,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5019,6,0,Crop disease or pest,No,,,,
5019,6,0,Loss/sickness of a member of your household,No,,,,
5019,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5019,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5019,6,0,Other (specify),No,,,,
5020,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5020,6,0,Flood,No,,,,
5020,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5020,6,0,Crop disease or pest,No,,,,
5020,6,0,Loss/sickness of a member of your household,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5020,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5020,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5020,6,0,Other (specify),No,,,,
5024,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5024,6,0,Flood,No,,,,
5024,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5024,6,0,Crop disease or pest,No,,,,
5024,6,0,Loss/sickness of a member of your household,No,,,,
5024,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5024,6,0,Food price increase,No,,,,
5024,6,0,Other (specify),No,,,,
5030,6,0,Drought,No,,,,
5030,6,0,Flood,No,,,,
5030,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5030,6,0,Crop disease or pest,No,,,,
5030,6,0,Loss/sickness of a member of your household,No,,,,
5030,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5030,6,0,Food price increase,No,,,,
5030,6,0,Other (specify),No,,,,
5031,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
5031,6,0,Flood,No,,,,
5031,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5031,6,0,Crop disease or pest,No,,,,
5031,6,0,Loss/sickness of a member of your household,No,,,,
5031,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5031,6,0,Food price increase,No,,,,
5031,6,0,Other (specify),No,,,,
5037,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
5037,6,0,Flood,No,,,,
5037,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5037,6,0,Crop disease or pest,No,,,,
5037,6,0,Loss/sickness of a member of your household,No,,,,
5037,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5037,6,0,Food price increase,No,,,,
5037,6,0,Other (specify),No,,,,
5041,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,About one year
5041,6,0,Flood,No,,,,
5041,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5041,6,0,Crop disease or pest,No,,,,
5041,6,0,Loss/sickness of a member of your household,No,,,,
5041,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5041,6,0,Food price increase,No,,,,
5041,6,0,Other (specify),No,,,,
5043,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5043,6,0,Flood,No,,,,
5043,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5043,6,0,Crop disease or pest,No,,,,
5043,6,0,Loss/sickness of a member of your household,No,,,,
5043,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5043,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5043,6,0,Other (specify),No,,,,
5045,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,About one year
5045,6,0,Flood,No,,,,
5045,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5045,6,0,Crop disease or pest,No,,,,
5045,6,0,Loss/sickness of a member of your household,No,,,,
5045,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5045,6,0,Food price increase,No,,,,
5045,6,0,Other (specify),No,,,,
5046,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
5046,6,0,Flood,No,,,,
5046,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5046,6,0,Crop disease or pest,No,,,,
5046,6,0,Loss/sickness of a member of your household,No,,,,
5046,6,0,Loss/sickness of someone who is not a member of your household,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within a month
5046,6,0,Food price increase,No,,,,
5046,6,0,Other (specify),No,,,,
5047,6,0,Drought,No,,,,
5047,6,0,Flood,No,,,,
5047,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5047,6,0,Crop disease or pest,No,,,,
5047,6,0,Loss/sickness of a member of your household,No,,,,
5047,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5047,6,0,Food price increase,No,,,,
5047,6,0,Other (specify),No,,,,
5049,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5049,6,0,Flood,No,,,,
5049,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5049,6,0,Crop disease or pest,No,,,,
5049,6,0,Loss/sickness of a member of your household,No,,,,
5049,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5049,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5049,6,0,Other (specify),No,,,,
5050,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5050,6,0,Flood,No,,,,
5050,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5050,6,0,Crop disease or pest,No,,,,
5050,6,0,Loss/sickness of a member of your household,No,,,,
5050,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5050,6,0,Food price increase,No,,,,
5050,6,0,Other (specify),No,,,,
5052,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
5052,6,0,Flood,No,,,,
5052,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5052,6,0,Crop disease or pest,No,,,,
5052,6,0,Loss/sickness of a member of your household,No,,,,
5052,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5052,6,0,Food price increase,No,,,,
5052,6,0,Other (specify),No,,,,
5053,6,0,Drought,No,,,,
5053,6,0,Flood,No,,,,
5053,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5053,6,0,Crop disease or pest,No,,,,
5053,6,0,Loss/sickness of a member of your household,No,,,,
5053,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5053,6,0,Food price increase,No,,,,
5053,6,0,Other (specify),Yes,rains,Short dry season (Jan-Feb current year),Large effect,More than a year (not fully recovered)
5054,6,0,Drought,No,,,,
5054,6,0,Flood,No,,,,
5054,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5054,6,0,Crop disease or pest,No,,,,
5054,6,0,Loss/sickness of a member of your household,No,,,,
5054,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5054,6,0,Food price increase,No,,,,
5054,6,0,Other (specify),No,,,,
5055,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5055,6,0,Flood,No,,,,
5055,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5055,6,0,Crop disease or pest,No,,,,
5055,6,0,Loss/sickness of a member of your household,No,,,,
5055,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5055,6,0,Food price increase,No,,,,
5055,6,0,Other (specify),No,,,,
5056,6,0,Drought,No,,,,
5056,6,0,Flood,No,,,,
5056,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5056,6,0,Crop disease or pest,No,,,,
5056,6,0,Loss/sickness of a member of your household,No,,,,
5056,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5056,6,0,Food price increase,No,,,,
5056,6,0,Other (specify),No,,,,
5057,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,More than a year (not fully recovered)
5057,6,0,Flood,No,,,,
5057,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5057,6,0,Crop disease or pest,No,,,,
5057,6,0,Loss/sickness of a member of your household,No,,,,
5057,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5057,6,0,Food price increase,No,,,,
5057,6,0,Other (specify),No,,,,
5061,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5061,6,0,Flood,No,,,,
5061,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5061,6,0,Crop disease or pest,No,,,,
5061,6,0,Loss/sickness of a member of your household,No,,,,
5061,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5061,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5061,6,0,Other (specify),No,,,,
5066,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5066,6,0,Flood,No,,,,
5066,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5066,6,0,Crop disease or pest,No,,,,
5066,6,0,Loss/sickness of a member of your household,No,,,,
5066,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5066,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5066,6,0,Other (specify),No,,,,
5067,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within the same season (In a few months)
5067,6,0,Flood,No,,,,
5067,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Long rainy season (Mar-May current year),Moderate effect,Within the same season (In a few months)
5067,6,0,Crop disease or pest,No,,,,
5067,6,0,Loss/sickness of a member of your household,No,,,,
5067,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5067,6,0,Food price increase,No,,,,
5067,6,0,Other (specify),No,,,,
5070,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
5070,6,0,Flood,No,,,,
5070,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5070,6,0,Crop disease or pest,No,,,,
5070,6,0,Loss/sickness of a member of your household,No,,,,
5070,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5070,6,0,Food price increase,No,,,,
5070,6,0,Other (specify),No,,,,
5073,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5073,6,0,Flood,No,,,,
5073,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5073,6,0,Crop disease or pest,No,,,,
5073,6,0,Loss/sickness of a member of your household,No,,,,
5073,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5073,6,0,Food price increase,No,,,,
5073,6,0,Other (specify),No,,,,
5075,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5075,6,0,Flood,No,,,,
5075,6,0,"Livestock disease, pest or loss due to raid or predator",Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5075,6,0,Crop disease or pest,No,,,,
5075,6,0,Loss/sickness of a member of your household,No,,,,
5075,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5075,6,0,Food price increase,Yes,,Short rainy season (Oct-Dec previous year),Moderate effect,Within the same season (In a few months)
5075,6,0,Other (specify),No,,,,
5076,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,About one year
5076,6,0,Flood,No,,,,
5076,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5076,6,0,Crop disease or pest,No,,,,
5076,6,0,Loss/sickness of a member of your household,No,,,,
5076,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5076,6,0,Food price increase,No,,,,
5076,6,0,Other (specify),No,,,,
5077,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Large effect,Within two seasons (about half a year)
5077,6,0,Flood,No,,,,
5077,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5077,6,0,Crop disease or pest,No,,,,
5077,6,0,Loss/sickness of a member of your household,No,,,,
5077,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5077,6,0,Food price increase,Yes,,Long rainy season (Mar-May current year),Mild effect,Within the same season (In a few months)
5077,6,0,Other (specify),No,,,,
5082,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Mild effect,Within the same season (In a few months)
5082,6,0,Flood,No,,,,
5082,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5082,6,0,Crop disease or pest,No,,,,
5082,6,0,Loss/sickness of a member of your household,No,,,,
5082,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5082,6,0,Food price increase,No,,,,
5082,6,0,Other (specify),Yes,FLUCTUATION IN THE PETTY TRADING,Long rainy season (Mar-May current year),Mild effect,Within the same season (In a few months)
5083,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
5083,6,0,Flood,No,,,,
5083,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5083,6,0,Crop disease or pest,No,,,,
5083,6,0,Loss/sickness of a member of your household,No,,,,
5083,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5083,6,0,Food price increase,No,,,,
5083,6,0,Other (specify),No,,,,
5084,6,0,Drought,Yes,,Short rainy season (Oct-Dec previous year),Large effect,Within two seasons (about half a year)
5084,6,0,Flood,No,,,,
5084,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5084,6,0,Crop disease or pest,No,,,,
5084,6,0,Loss/sickness of a member of your household,No,,,,
5084,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
5084,6,0,Food price increase,No,,,,
5084,6,0,Other (specify),No,,,,
5086,6,0,Drought,Yes,,Long rainy season (Mar-May current year),Moderate effect,Within a month
5086,6,0,Flood,No,,,,
5086,6,0,"Livestock disease, pest or loss due to raid or predator",No,,,,
5086,6,0,Crop disease or pest,No,,,,
5086,6,0,Loss/sickness of a member of your household,No,,,,
5086,6,0,Loss/sickness of someone who is not a member of your household,No,,,,
